student_skill_id,student_id,skill_id,initial_assessment_date,initial_proficiency_level,current_proficiency_level,target_proficiency_level,last_assessment_date,assessment_score,hours_practiced,projects_completed,assessed_by_staff_id,learning_style,strengths,areas_for_improvement,recommended_next_steps,progress_notes,status,created_at,updated_at
SSK-193988,STU-001616,SKL-024,2025-06-23,1,4,5,2025-06-23,85.00,23,3,STF-0019,Reading/Writing,Team collaboration,Collaboration,Additional practice,Needs additional support,Needs Support,2025-02-10T00:00:00.000Z,2025-03-12T00:00:00.000Z
SSK-194022,STU-001631,SKL-022,2025-07-27,1,3,3,2025-07-27,68.00,57,4,STF-0040,Visual,Fast learner,Focus,Peer tutoring,Showing steady improvement,In Development,2025-03-16T00:00:00.000Z,2025-04-15T00:00:00.000Z
SSK-194154,STU-001100,SKL-010,2025-12-06,1,5,3,2025-12-06,98.00,189,4,STF-0017,Kinesthetic,Attention to detail,Confidence,Project leadership role,Showing steady improvement,Proficient,2025-07-26T00:00:00.000Z,2025-08-25T00:00:00.000Z
SSK-194185,STU-001352,SKL-007,2025-01-06,2,1,4,2025-01-06,78.00,19,2,STF-0025,Reading/Writing,Problem solving,Communication,Certification prep,Excellent progress,Needs Support,2025-08-26T00:00:00.000Z,2025-09-25T00:00:00.000Z
SSK-194223,STU-000778,SKL-006,2025-02-13,2,4,3,2025-02-13,65.00,57,7,STF-0030,Visual,Creative vision,Technical skills,Mentorship pairing,On track to meet goals,In Development,2025-10-03T00:00:00.000Z,2025-11-02T00:00:00.000Z
SSK-194277,STU-001949,SKL-012,2025-04-08,2,3,3,2025-04-08,68.00,111,6,STF-0026,Reading/Writing,Communication,Detail orientation,Portfolio development,On track to meet goals,Advanced,2025-11-26T00:00:00.000Z,2025-12-26T00:00:00.000Z
SSK-194306,STU-001124,SKL-021,2025-05-07,1,2,5,2025-05-07,97.00,140,2,STF-0021,Visual,Technical aptitude,Time management,Advanced training,Needs additional support,In Development,2025-12-25T00:00:00.000Z,2026-01-24T00:00:00.000Z
SSK-194342,STU-001631,SKL-007,2025-06-12,1,3,5,2025-06-12,82.00,176,5,STF-0044,Auditory,Creative vision,Technical skills,Mentorship pairing,Needs additional support,Proficient,2022-01-30T00:00:00.000Z,2022-03-01T00:00:00.000Z
SSK-194413,STU-001936,SKL-034,2025-08-22,2,4,4,2025-08-22,51.00,46,10,STF-0003,Visual,Attention to detail,Confidence,Project leadership role,Excellent progress,In Development,2022-04-11T00:00:00.000Z,2022-05-11T00:00:00.000Z
SSK-194433,STU-000996,SKL-030,2025-09-11,2,4,3,2025-09-11,71.00,66,8,STF-0032,Auditory,Creative vision,Technical skills,Mentorship pairing,On track to meet goals,In Development,2022-05-01T00:00:00.000Z,2022-05-31T00:00:00.000Z
SSK-194437,STU-001616,SKL-025,2025-09-15,2,3,4,2025-09-15,75.00,70,1,STF-0014,Auditory,Problem solving,Communication,Certification prep,Excellent progress,In Development,2022-05-05T00:00:00.000Z,2022-06-04T00:00:00.000Z
SSK-194448,STU-001078,SKL-034,2025-09-26,1,4,3,2025-09-26,86.00,81,1,STF-0011,Auditory,Attention to detail,Confidence,Project leadership role,Showing steady improvement,Proficient,2022-05-16T00:00:00.000Z,2022-06-15T00:00:00.000Z
SSK-194472,STU-000768,SKL-001,2025-10-20,1,3,3,2025-10-20,59.00,105,3,STF-0034,Kinesthetic,Problem solving,Communication,Certification prep,Showing steady improvement,Advanced,2022-06-09T00:00:00.000Z,2022-07-09T00:00:00.000Z
SSK-194568,STU-000996,SKL-004,2025-01-24,1,4,3,2025-01-24,53.00,0,0,STF-0036,Kinesthetic,Fast learner,Focus,Peer tutoring,Showing steady improvement,Proficient,2022-09-13T00:00:00.000Z,2022-10-13T00:00:00.000Z
SSK-194601,STU-000947,SKL-003,2025-02-26,2,2,3,2025-02-26,86.00,33,0,STF-0005,Visual,Creative vision,Technical skills,Mentorship pairing,On track to meet goals,In Development,2022-10-16T00:00:00.000Z,2022-11-15T00:00:00.000Z
SSK-194620,STU-000877,SKL-020,2025-03-17,1,1,4,2025-03-17,54.00,52,8,STF-0046,Visual,Communication,Detail orientation,Portfolio development,Exceeding expectations,In Development,2022-11-04T00:00:00.000Z,2022-12-04T00:00:00.000Z
SSK-194625,STU-001352,SKL-009,2025-03-22,2,1,3,2025-03-22,59.00,57,2,STF-0050,Visual,Team collaboration,Collaboration,Additional practice,On track to meet goals,In Development,2022-11-09T00:00:00.000Z,2022-12-09T00:00:00.000Z
SSK-194627,STU-000252,SKL-007,2025-03-24,2,3,5,2025-03-24,61.00,59,4,STF-0020,Visual,Communication,Detail orientation,Portfolio development,,In Development,2022-11-11T00:00:00.000Z,2022-12-11T00:00:00.000Z
SSK-194633,STU-001124,SKL-037,2025-03-30,2,4,5,2025-03-30,67.00,65,10,STF-0007,Auditory,Problem solving,Communication,Certification prep,,In Development,2022-11-17T00:00:00.000Z,2022-12-17T00:00:00.000Z
SSK-194736,STU-000610,SKL-013,2025-07-11,1,2,3,2025-07-11,68.00,168,3,STF-0041,Auditory,Fast learner,Focus,Peer tutoring,Showing steady improvement,In Development,2023-02-28T00:00:00.000Z,2023-03-30T00:00:00.000Z
SSK-194784,STU-000281,SKL-004,2025-08-28,1,5,3,2025-08-28,65.00,15,7,STF-0025,Reading/Writing,Attention to detail,Confidence,Project leadership role,Showing steady improvement,Advanced,2023-04-17T00:00:00.000Z,2023-05-17T00:00:00.000Z
SSK-194825,STU-001900,SKL-013,2025-10-08,2,1,5,2025-10-08,55.00,56,4,STF-0001,Visual,Creative vision,Technical skills,Mentorship pairing,,In Development,2023-05-28T00:00:00.000Z,2023-06-27T00:00:00.000Z
SSK-194847,STU-000454,SKL-035,2025-10-30,2,3,3,2025-10-30,77.00,78,4,STF-0001,Auditory,Attention to detail,Confidence,Project leadership role,On track to meet goals,Proficient,2023-06-19T00:00:00.000Z,2023-07-19T00:00:00.000Z
SSK-194946,STU-001245,SKL-027,2025-02-06,1,2,3,2025-02-06,74.00,177,4,STF-0019,Auditory,Fast learner,Focus,Peer tutoring,Showing steady improvement,Proficient,2023-09-26T00:00:00.000Z,2023-10-26T00:00:00.000Z
SSK-194964,STU-000947,SKL-040,2025-02-24,1,5,3,2025-02-24,92.00,195,0,STF-0046,Kinesthetic,Technical aptitude,Time management,Advanced training,Showing steady improvement,Proficient,2023-10-14T00:00:00.000Z,2023-11-13T00:00:00.000Z
SSK-194965,STU-001076,SKL-008,2025-02-25,2,1,4,2025-02-25,93.00,196,1,STF-0040,Kinesthetic,Creative vision,Technical skills,Mentorship pairing,Excellent progress,Proficient,2023-10-15T00:00:00.000Z,2023-11-14T00:00:00.000Z
SSK-194966,STU-001078,SKL-017,2025-02-26,1,2,5,2025-02-26,94.00,197,2,STF-0025,Kinesthetic,Attention to detail,Confidence,Project leadership role,Needs additional support,Proficient,2023-10-16T00:00:00.000Z,2023-11-15T00:00:00.000Z
SSK-025004,STU-001352,SKL-015,2025-07-04,1,5,5,2025-07-04,64.00,80,1,STF-0002,Visual,Technical aptitude,Time management,Advanced training,Needs additional support,In Development,2022-06-17T00:00:00.000Z,2022-07-17T00:00:00.000Z
SSK-025030,STU-000661,SKL-024,2025-07-30,1,1,4,2025-07-30,90.00,106,5,STF-0019,Auditory,Problem solving,Communication,Certification prep,Exceeding expectations,In Development,2022-07-13T00:00:00.000Z,2022-08-12T00:00:00.000Z
SSK-025032,STU-001245,SKL-017,2025-08-01,1,3,3,2025-08-01,92.00,108,7,STF-0043,Auditory,Technical aptitude,Time management,Advanced training,Showing steady improvement,In Development,2022-07-15T00:00:00.000Z,2022-08-14T00:00:00.000Z
SSK-025036,STU-001418,SKL-029,2025-08-05,1,2,4,2025-08-05,96.00,112,0,STF-0004,Auditory,Team collaboration,Collaboration,Additional practice,Exceeding expectations,In Development,2022-07-19T00:00:00.000Z,2022-08-18T00:00:00.000Z
SSK-025045,STU-001133,SKL-019,2025-08-14,2,1,4,2025-08-14,54.00,121,9,STF-0023,Auditory,Communication,Detail orientation,Portfolio development,Excellent progress,Proficient,2022-07-28T00:00:00.000Z,2022-08-27T00:00:00.000Z
SSK-025106,STU-000176,SKL-001,2025-10-14,1,2,5,2025-10-14,64.00,182,4,STF-0049,Visual,Team collaboration,Collaboration,Additional practice,Needs additional support,In Development,2022-09-27T00:00:00.000Z,2022-10-27T00:00:00.000Z
SSK-025111,STU-000778,SKL-017,2025-10-19,2,2,4,2025-10-19,69.00,187,9,STF-0020,Visual,Attention to detail,Confidence,Project leadership role,Excellent progress,In Development,2022-10-02T00:00:00.000Z,2022-11-01T00:00:00.000Z
SSK-025292,STU-001418,SKL-009,2025-04-18,1,3,5,2025-04-18,97.00,167,3,STF-0012,Mixed,Creative vision,Technical skills,Mentorship pairing,Needs additional support,Needs Support,2023-04-01T00:00:00.000Z,2023-05-01T00:00:00.000Z
SSK-025332,STU-001790,SKL-012,2025-05-28,1,3,3,2025-05-28,86.00,6,10,STF-0006,Auditory,Communication,Detail orientation,Portfolio development,Showing steady improvement,In Development,2023-05-11T00:00:00.000Z,2023-06-10T00:00:00.000Z
SSK-025346,STU-000748,SKL-026,2025-06-11,1,2,5,2025-06-11,100.00,20,2,STF-0036,Auditory,Communication,Detail orientation,Portfolio development,Needs additional support,Proficient,2023-05-25T00:00:00.000Z,2023-06-24T00:00:00.000Z
SSK-025358,STU-001100,SKL-004,2025-06-23,1,4,5,2025-06-23,61.00,32,3,STF-0002,Kinesthetic,Team collaboration,Collaboration,Additional practice,Needs additional support,Proficient,2023-06-06T00:00:00.000Z,2023-07-06T00:00:00.000Z
SSK-025415,STU-000011,SKL-038,2025-08-19,2,1,5,2025-08-19,67.00,89,5,STF-0035,Visual,Problem solving,Communication,Certification prep,,In Development,2023-08-02T00:00:00.000Z,2023-09-01T00:00:00.000Z
SSK-025417,STU-001076,SKL-033,2025-08-21,2,3,4,2025-08-21,69.00,91,7,STF-0035,Visual,Technical aptitude,Time management,Advanced training,Excellent progress,In Development,2023-08-04T00:00:00.000Z,2023-09-03T00:00:00.000Z
SSK-025484,STU-001129,SKL-032,2025-10-27,1,5,5,2025-10-27,85.00,158,8,STF-0026,Reading/Writing,Team collaboration,Collaboration,Additional practice,Needs additional support,Advanced,2023-10-10T00:00:00.000Z,2023-11-09T00:00:00.000Z
SSK-025614,STU-000768,SKL-022,2025-03-06,1,5,3,2025-03-06,62.00,87,6,STF-0044,Visual,Creative vision,Technical skills,Mentorship pairing,Showing steady improvement,In Development,2024-02-17T00:00:00.000Z,2024-03-18T00:00:00.000Z
SSK-025725,STU-001352,SKL-033,2025-06-25,2,1,3,2025-06-25,71.00,198,7,STF-0004,Visual,Technical aptitude,Time management,Advanced training,On track to meet goals,In Development,2024-06-07T00:00:00.000Z,2024-07-07T00:00:00.000Z
SSK-025734,STU-000896,SKL-019,2025-07-04,1,5,3,2025-07-04,80.00,6,5,STF-0036,Auditory,Attention to detail,Confidence,Project leadership role,Showing steady improvement,In Development,2024-06-16T00:00:00.000Z,2024-07-16T00:00:00.000Z
SSK-025804,STU-000227,SKL-002,2025-09-12,1,5,4,2025-09-12,99.00,76,9,STF-0005,Visual,Attention to detail,Confidence,Project leadership role,Exceeding expectations,In Development,2024-08-25T00:00:00.000Z,2024-09-24T00:00:00.000Z
SSK-025844,STU-001076,SKL-013,2025-10-22,1,5,5,2025-10-22,88.00,116,5,STF-0039,Auditory,Technical aptitude,Time management,Advanced training,Needs additional support,Proficient,2024-10-04T00:00:00.000Z,2024-11-03T00:00:00.000Z
SSK-025845,STU-000008,SKL-015,2025-10-23,2,1,3,2025-10-23,89.00,117,6,STF-0036,Auditory,Creative vision,Technical skills,Mentorship pairing,On track to meet goals,Proficient,2024-10-05T00:00:00.000Z,2024-11-04T00:00:00.000Z
SSK-025885,STU-000281,SKL-008,2025-12-02,2,1,4,2025-12-02,78.00,157,2,STF-0005,Reading/Writing,Communication,Detail orientation,Portfolio development,Excellent progress,Needs Support,2024-11-14T00:00:00.000Z,2024-12-14T00:00:00.000Z
SSK-025950,STU-000968,SKL-009,2025-02-05,1,1,3,2025-02-05,92.00,21,1,STF-0017,Kinesthetic,Creative vision,Technical skills,Mentorship pairing,Showing steady improvement,Proficient,2025-01-18T00:00:00.000Z,2025-02-17T00:00:00.000Z
SSK-025977,STU-001262,SKL-026,2025-03-04,2,3,3,2025-03-04,68.00,48,6,STF-0030,Reading/Writing,Technical aptitude,Time management,Advanced training,On track to meet goals,Advanced,2025-02-14T00:00:00.000Z,2025-03-16T00:00:00.000Z
SSK-025989,STU-000417,SKL-017,2025-03-16,2,5,3,2025-03-16,80.00,60,7,STF-0020,Reading/Writing,Problem solving,Communication,Certification prep,On track to meet goals,Needs Support,2025-02-26T00:00:00.000Z,2025-03-28T00:00:00.000Z
SSK-026103,STU-000186,SKL-001,2025-07-08,2,4,3,2025-07-08,92.00,174,0,STF-0027,Visual,Technical aptitude,Time management,Advanced training,On track to meet goals,In Development,2025-06-20T00:00:00.000Z,2025-07-20T00:00:00.000Z
SSK-026147,STU-001869,SKL-018,2025-08-21,2,3,5,2025-08-21,85.00,17,0,STF-0050,Auditory,Attention to detail,Confidence,Project leadership role,,Proficient,2025-08-03T00:00:00.000Z,2025-09-02T00:00:00.000Z
SSK-026152,STU-000008,SKL-030,2025-08-26,1,3,4,2025-08-26,90.00,22,5,STF-0020,Kinesthetic,Technical aptitude,Time management,Advanced training,Exceeding expectations,Proficient,2025-08-08T00:00:00.000Z,2025-09-07T00:00:00.000Z
SSK-026207,STU-000748,SKL-027,2025-10-20,2,3,5,2025-10-20,94.00,77,5,STF-0018,Visual,Communication,Detail orientation,Portfolio development,,In Development,2025-10-02T00:00:00.000Z,2025-11-01T00:00:00.000Z
SSK-026219,STU-000778,SKL-032,2025-11-01,2,5,5,2025-11-01,55.00,89,6,STF-0026,Visual,Team collaboration,Collaboration,Additional practice,,In Development,2025-10-14T00:00:00.000Z,2025-11-13T00:00:00.000Z
SSK-026242,STU-001352,SKL-009,2025-11-24,1,3,4,2025-11-24,78.00,112,7,STF-0019,Auditory,Communication,Detail orientation,Portfolio development,Exceeding expectations,Proficient,2025-11-06T00:00:00.000Z,2025-12-06T00:00:00.000Z
SSK-026244,STU-000227,SKL-012,2025-11-26,1,5,3,2025-11-26,80.00,114,9,STF-0026,Auditory,Creative vision,Technical skills,Mentorship pairing,Showing steady improvement,Proficient,2025-11-08T00:00:00.000Z,2025-12-08T00:00:00.000Z
SSK-026257,STU-000610,SKL-004,2025-12-09,2,3,4,2025-12-09,93.00,127,0,STF-0023,Kinesthetic,Technical aptitude,Time management,Advanced training,Excellent progress,Proficient,2025-11-21T00:00:00.000Z,2025-12-21T00:00:00.000Z
SSK-026380,STU-001078,SKL-015,2025-04-11,1,1,4,2025-04-11,63.00,49,2,STF-0023,Reading/Writing,Team collaboration,Collaboration,Additional practice,Exceeding expectations,Advanced,2022-03-24T00:00:00.000Z,2022-04-23T00:00:00.000Z
SSK-026455,STU-000996,SKL-040,2025-06-25,2,1,4,2025-06-25,87.00,124,0,STF-0034,Kinesthetic,Attention to detail,Confidence,Project leadership role,Excellent progress,Proficient,2022-06-07T00:00:00.000Z,2022-07-07T00:00:00.000Z
SSK-026594,STU-000896,SKL-032,2025-11-11,1,5,5,2025-11-11,73.00,62,7,STF-0014,Mixed,Creative vision,Technical skills,Mentorship pairing,Needs additional support,Needs Support,2022-10-24T00:00:00.000Z,2022-11-23T00:00:00.000Z
SSK-026621,STU-000008,SKL-019,2025-12-08,2,2,5,2025-12-08,100.00,89,1,STF-0038,Visual,Technical aptitude,Time management,Advanced training,,In Development,2022-11-20T00:00:00.000Z,2022-12-20T00:00:00.000Z
SSK-026722,STU-000996,SKL-036,2025-03-19,1,3,4,2025-03-19,99.00,190,3,STF-0039,Visual,Fast learner,Focus,Peer tutoring,Exceeding expectations,In Development,2023-03-01T00:00:00.000Z,2023-03-31T00:00:00.000Z
SSK-026759,STU-000173,SKL-009,2025-04-25,2,5,5,2025-04-25,85.00,26,7,STF-0045,Kinesthetic,Problem solving,Communication,Certification prep,,Proficient,2023-04-07T00:00:00.000Z,2023-05-07T00:00:00.000Z
SSK-026763,STU-000454,SKL-007,2025-04-29,2,4,3,2025-04-29,89.00,30,0,STF-0050,Kinesthetic,Attention to detail,Confidence,Project leadership role,On track to meet goals,Proficient,2023-04-11T00:00:00.000Z,2023-05-11T00:00:00.000Z
SSK-026767,STU-001426,SKL-020,2025-05-03,2,3,4,2025-05-03,93.00,34,4,STF-0017,Kinesthetic,Communication,Detail orientation,Portfolio development,Excellent progress,Proficient,2023-04-15T00:00:00.000Z,2023-05-15T00:00:00.000Z
SSK-026828,STU-000417,SKL-024,2025-07-03,1,4,5,2025-07-03,52.00,95,10,STF-0008,Visual,Team collaboration,Collaboration,Additional practice,Needs additional support,In Development,2023-06-15T00:00:00.000Z,2023-07-15T00:00:00.000Z
SSK-026881,STU-000356,SKL-040,2025-08-25,2,2,4,2025-08-25,54.00,148,8,STF-0034,Reading/Writing,Creative vision,Technical skills,Mentorship pairing,Excellent progress,Advanced,2023-08-07T00:00:00.000Z,2023-09-06T00:00:00.000Z
SSK-026987,STU-001949,SKL-034,2025-12-09,2,3,5,2025-12-09,58.00,53,4,STF-0030,Reading/Writing,Attention to detail,Confidence,Project leadership role,,Needs Support,2023-11-21T00:00:00.000Z,2023-12-21T00:00:00.000Z
SSK-026994,STU-000176,SKL-021,2025-12-16,1,5,3,2025-12-16,65.00,60,0,STF-0039,Mixed,Attention to detail,Confidence,Project leadership role,Showing steady improvement,Needs Support,2023-11-28T00:00:00.000Z,2023-12-28T00:00:00.000Z
SSK-026999,STU-001949,SKL-003,2025-12-21,2,5,5,2025-12-21,70.00,65,5,STF-0017,Mixed,Technical aptitude,Time management,Advanced training,,Not Started,2023-12-03T00:00:00.000Z,2024-01-02T00:00:00.000Z
SSK-027011,STU-000610,SKL-010,2025-01-02,2,2,5,2025-01-02,82.00,77,6,STF-0007,Visual,Problem solving,Communication,Certification prep,,In Development,2023-12-15T00:00:00.000Z,2024-01-14T00:00:00.000Z
SSK-027153,STU-001792,SKL-032,2025-05-24,2,4,3,2025-05-24,71.00,18,5,STF-0013,Kinesthetic,Technical aptitude,Time management,Advanced training,On track to meet goals,Proficient,2024-05-05T00:00:00.000Z,2024-06-04T00:00:00.000Z
SSK-027281,STU-000454,SKL-010,2025-09-29,2,2,5,2025-09-29,97.00,146,1,STF-0010,Reading/Writing,Attention to detail,Confidence,Project leadership role,,Advanced,2024-09-10T00:00:00.000Z,2024-10-10T00:00:00.000Z
SSK-027296,STU-001616,SKL-005,2025-10-14,1,2,5,2025-10-14,61.00,161,5,STF-0006,Mixed,Fast learner,Focus,Peer tutoring,Needs additional support,Not Started,2024-09-25T00:00:00.000Z,2024-10-25T00:00:00.000Z
SSK-027303,STU-001613,SKL-028,2025-10-21,2,4,3,2025-10-21,68.00,168,1,STF-0027,Visual,Fast learner,Focus,Peer tutoring,On track to meet goals,In Development,2024-10-02T00:00:00.000Z,2024-11-01T00:00:00.000Z
SSK-027325,STU-000748,SKL-022,2025-11-12,2,1,4,2025-11-12,90.00,190,1,STF-0012,Visual,Team collaboration,Collaboration,Additional practice,Excellent progress,In Development,2024-10-24T00:00:00.000Z,2024-11-23T00:00:00.000Z
SSK-027358,STU-001418,SKL-025,2025-12-15,1,4,4,2025-12-15,72.00,22,1,STF-0041,Kinesthetic,Attention to detail,Confidence,Project leadership role,Exceeding expectations,Proficient,2024-11-26T00:00:00.000Z,2024-12-26T00:00:00.000Z
SSK-027392,STU-000322,SKL-014,2025-01-18,1,3,5,2025-01-18,55.00,56,2,STF-0029,Mixed,Creative vision,Technical skills,Mentorship pairing,Needs additional support,Needs Support,2024-12-30T00:00:00.000Z,2025-01-29T00:00:00.000Z
SSK-027452,STU-000778,SKL-005,2025-03-19,1,3,5,2025-03-19,64.00,116,7,STF-0015,Kinesthetic,Problem solving,Communication,Certification prep,Needs additional support,Proficient,2025-02-28T00:00:00.000Z,2025-03-30T00:00:00.000Z
SSK-027484,STU-001949,SKL-004,2025-04-20,1,5,4,2025-04-20,96.00,148,6,STF-0030,Reading/Writing,Attention to detail,Confidence,Project leadership role,Exceeding expectations,Advanced,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
SSK-027551,STU-001631,SKL-037,2025-06-26,2,2,5,2025-06-26,61.00,14,7,STF-0023,Kinesthetic,Communication,Detail orientation,Portfolio development,,Proficient,2025-06-07T00:00:00.000Z,2025-07-07T00:00:00.000Z
SSK-027587,STU-000996,SKL-038,2025-08-01,2,3,5,2025-08-01,97.00,50,10,STF-0015,Reading/Writing,Technical aptitude,Time management,Advanced training,,Needs Support,2025-07-13T00:00:00.000Z,2025-08-12T00:00:00.000Z
SSK-027592,STU-001869,SKL-021,2025-08-06,1,3,4,2025-08-06,51.00,55,4,STF-0044,Mixed,Problem solving,Communication,Certification prep,Exceeding expectations,Needs Support,2025-07-18T00:00:00.000Z,2025-08-17T00:00:00.000Z
SSK-027875,STU-001631,SKL-011,2025-05-16,2,1,5,2025-05-16,79.00,137,1,STF-0014,Reading/Writing,Creative vision,Technical skills,Mentorship pairing,,Advanced,2022-04-27T00:00:00.000Z,2022-05-27T00:00:00.000Z
SSK-027993,STU-001631,SKL-012,2025-09-11,2,4,3,2025-09-11,95.00,54,9,STF-0044,Mixed,Technical aptitude,Time management,Advanced training,On track to meet goals,Needs Support,2022-08-23T00:00:00.000Z,2022-09-22T00:00:00.000Z
SSK-028017,STU-000896,SKL-011,2025-10-05,2,3,3,2025-10-05,68.00,78,0,STF-0026,Visual,Fast learner,Focus,Peer tutoring,On track to meet goals,In Development,2022-09-16T00:00:00.000Z,2022-10-16T00:00:00.000Z
SSK-028053,STU-001078,SKL-022,2025-11-10,2,4,3,2025-11-10,53.00,114,3,STF-0019,Kinesthetic,Team collaboration,Collaboration,Additional practice,On track to meet goals,Proficient,2022-10-22T00:00:00.000Z,2022-11-21T00:00:00.000Z
SSK-028094,STU-001100,SKL-005,2025-12-21,1,5,5,2025-12-21,94.00,155,0,STF-0043,Mixed,Fast learner,Focus,Peer tutoring,Needs additional support,Needs Support,2022-12-02T00:00:00.000Z,2023-01-01T00:00:00.000Z
SSK-028099,STU-000252,SKL-005,2025-12-26,2,5,4,2025-12-26,99.00,160,5,STF-0047,Mixed,Creative vision,Technical skills,Mentorship pairing,Excellent progress,Not Started,2022-12-07T00:00:00.000Z,2023-01-06T00:00:00.000Z
SSK-028100,STU-000011,SKL-021,2025-12-27,1,1,5,2025-12-27,100.00,161,6,STF-0020,Visual,Attention to detail,Confidence,Project leadership role,Needs additional support,In Development,2022-12-08T00:00:00.000Z,2023-01-07T00:00:00.000Z
SSK-028108,STU-000417,SKL-008,2025-01-04,1,4,4,2025-01-04,57.00,169,3,STF-0045,Visual,Fast learner,Focus,Peer tutoring,Exceeding expectations,In Development,2022-12-16T00:00:00.000Z,2023-01-15T00:00:00.000Z
SSK-028219,STU-001245,SKL-005,2025-04-25,2,5,4,2025-04-25,66.00,79,4,STF-0023,Visual,Attention to detail,Confidence,Project leadership role,Excellent progress,In Development,2023-04-06T00:00:00.000Z,2023-05-06T00:00:00.000Z
SSK-028232,STU-000502,SKL-034,2025-05-08,1,3,5,2025-05-08,79.00,92,6,STF-0030,Auditory,Creative vision,Technical skills,Mentorship pairing,Needs additional support,In Development,2023-04-19T00:00:00.000Z,2023-05-19T00:00:00.000Z
SSK-028274,STU-000949,SKL-033,2025-06-19,1,5,5,2025-06-19,70.00,134,4,STF-0017,Kinesthetic,Creative vision,Technical skills,Mentorship pairing,Needs additional support,Advanced,2023-05-31T00:00:00.000Z,2023-06-30T00:00:00.000Z
SSK-028284,STU-001124,SKL-002,2025-06-29,1,5,3,2025-06-29,80.00,144,3,STF-0042,Reading/Writing,Team collaboration,Collaboration,Additional practice,Showing steady improvement,Advanced,2023-06-10T00:00:00.000Z,2023-07-10T00:00:00.000Z
SSK-028294,STU-000008,SKL-002,2025-07-09,1,5,4,2025-07-09,90.00,154,2,STF-0021,Mixed,Technical aptitude,Time management,Advanced training,Exceeding expectations,Needs Support,2023-06-20T00:00:00.000Z,2023-07-20T00:00:00.000Z
SSK-028348,STU-001352,SKL-024,2025-09-01,1,4,4,2025-09-01,93.00,7,1,STF-0002,Auditory,Problem solving,Communication,Certification prep,Exceeding expectations,Proficient,2023-08-13T00:00:00.000Z,2023-09-12T00:00:00.000Z
SSK-028373,STU-000661,SKL-012,2025-09-26,2,4,5,2025-09-26,67.00,32,4,STF-0021,Kinesthetic,Attention to detail,Confidence,Project leadership role,,Advanced,2023-09-07T00:00:00.000Z,2023-10-07T00:00:00.000Z
SSK-028429,STU-001792,SKL-038,2025-11-21,2,5,4,2025-11-21,72.00,88,5,STF-0028,Visual,Attention to detail,Confidence,Project leadership role,Excellent progress,In Development,2023-11-02T00:00:00.000Z,2023-12-02T00:00:00.000Z
SSK-028446,STU-000173,SKL-025,2025-12-08,1,2,3,2025-12-08,89.00,105,0,STF-0042,Auditory,Problem solving,Communication,Certification prep,Showing steady improvement,Proficient,2023-11-19T00:00:00.000Z,2023-12-19T00:00:00.000Z
SSK-028517,STU-001133,SKL-011,2025-02-17,2,3,5,2025-02-17,58.00,176,5,STF-0012,Visual,Communication,Detail orientation,Portfolio development,,In Development,2024-01-29T00:00:00.000Z,2024-02-28T00:00:00.000Z
SSK-028564,STU-001426,SKL-006,2025-04-05,1,5,4,2025-04-05,54.00,22,8,STF-0048,Kinesthetic,Team collaboration,Collaboration,Additional practice,Exceeding expectations,Proficient,2024-03-16T00:00:00.000Z,2024-04-15T00:00:00.000Z
SSK-028667,STU-001245,SKL-016,2025-07-17,2,3,5,2025-07-17,55.00,125,1,STF-0048,Kinesthetic,Attention to detail,Confidence,Project leadership role,,Proficient,2024-06-27T00:00:00.000Z,2024-07-27T00:00:00.000Z
SSK-028700,STU-001969,SKL-010,2025-08-19,1,1,5,2025-08-19,88.00,158,1,STF-0037,Visual,Technical aptitude,Time management,Advanced training,Needs additional support,In Development,2024-07-30T00:00:00.000Z,2024-08-29T00:00:00.000Z
SSK-028716,STU-001078,SKL-035,2025-09-04,1,2,3,2025-09-04,53.00,174,6,STF-0047,Visual,Attention to detail,Confidence,Project leadership role,Showing steady improvement,In Development,2024-08-15T00:00:00.000Z,2024-09-14T00:00:00.000Z
SSK-028744,STU-001352,SKL-036,2025-10-02,1,5,4,2025-10-02,81.00,1,1,STF-0008,Auditory,Attention to detail,Confidence,Project leadership role,Exceeding expectations,Proficient,2024-09-12T00:00:00.000Z,2024-10-12T00:00:00.000Z
SSK-028932,STU-001631,SKL-011,2025-04-08,1,3,3,2025-04-08,65.00,189,2,STF-0016,Auditory,Creative vision,Technical skills,Mentorship pairing,Showing steady improvement,In Development,2025-03-19T00:00:00.000Z,2025-04-18T00:00:00.000Z
SSK-029000,STU-000768,SKL-036,2025-06-15,1,1,5,2025-06-15,82.00,56,4,STF-0039,Visual,Communication,Detail orientation,Portfolio development,Needs additional support,In Development,2025-05-26T00:00:00.000Z,2025-06-25T00:00:00.000Z
SSK-029005,STU-000379,SKL-002,2025-06-20,2,1,4,2025-06-20,87.00,61,9,STF-0044,Visual,Team collaboration,Collaboration,Additional practice,Excellent progress,In Development,2025-05-31T00:00:00.000Z,2025-06-30T00:00:00.000Z
SSK-029011,STU-001352,SKL-019,2025-06-26,2,2,4,2025-06-26,93.00,67,4,STF-0028,Visual,Fast learner,Focus,Peer tutoring,Excellent progress,In Development,2025-06-06T00:00:00.000Z,2025-07-06T00:00:00.000Z
