goal_id,student_id,goal_type,goal_title,description,start_date,target_completion_date,actual_completion_date,priority,progress_percentage,milestones_total,milestones_completed,mentor_assigned_id,staff_assigned_id,program_id,barriers_identified,support_needed,last_review_date,next_review_date,notes,status,created_at,updated_at
GOL-075156,STU-000920,Personal Growth,Financial savings goal,Financial savings goal - Personal development goal for Better Youth student,2025-11-28,2026-01-22,null,Medium,12,6,6,MNT-0163,STF-0035,null,Resource access,Transportation,2025-11-28,2025-12-28,Revised timeline,Completed,2024-09-20T00:00:00.000Z,2024-10-04T00:00:00.000Z
GOL-075167,STU-000983,Financial,Build portfolio,Build portfolio - Personal development goal for Better Youth student,2025-12-09,2026-05-20,2026-03-07,Medium,23,3,8,null,STF-0047,PRG-013,Transportation,Flexible scheduling,2025-12-09,2026-01-08,On track,Completed,2024-10-01T00:00:00.000Z,2024-10-15T00:00:00.000Z
GOL-075227,STU-001846,Career,Build portfolio,Build portfolio - Personal development goal for Better Youth student,2025-02-07,2025-05-22,2025-07-10,High,83,7,5,MNT-0059,STF-0043,PRG-012,None,Equipment access,2025-02-07,2025-03-09,Additional support provided,Active,2024-11-30T00:00:00.000Z,2024-12-14T00:00:00.000Z
GOL-075240,STU-000746,Skills Development,Complete program certification,Complete program certification - Personal development goal for Better Youth student,2025-02-20,2025-05-02,2025-07-04,Medium,96,6,0,MNT-0126,STF-0049,PRG-009,Time constraints,None additional,2025-02-20,2025-03-22,Revised timeline,Active,2024-12-13T00:00:00.000Z,2024-12-27T00:00:00.000Z
GOL-075266,STU-000844,Financial,Mentor a peer,Mentor a peer - Personal development goal for Better Youth student,2025-03-18,2025-08-26,2025-05-10,Medium,21,4,8,MNT-0091,STF-0032,PRG-013,Transportation,Mentoring,2025-03-18,2025-04-17,Ahead of schedule,Completed,2025-01-08T00:00:00.000Z,2025-01-22T00:00:00.000Z
GOL-075282,STU-000568,Creative,Improve attendance,Improve attendance - Personal development goal for Better Youth student,2025-04-03,2025-07-17,2025-05-20,Low,37,6,6,MNT-0106,STF-0044,PRG-006,Academic demands,Mentoring,2025-04-03,2025-05-03,Revised timeline,On Hold,2025-01-24T00:00:00.000Z,2025-02-07T00:00:00.000Z
GOL-075295,STU-000384,Community,Network with 5 professionals,Network with 5 professionals - Personal development goal for Better Youth student,2025-04-16,2025-11-02,2025-07-09,Low,50,5,1,MNT-0158,STF-0045,PRG-001,Work schedule,Flexible scheduling,2025-04-16,2025-05-16,Needs attention,Deferred,2025-02-06T00:00:00.000Z,2025-02-20T00:00:00.000Z
GOL-075331,STU-000765,Career,Improve GPA,Improve GPA - Personal development goal for Better Youth student,2025-05-22,2025-08-16,null,Medium,86,6,1,null,STF-0003,PRG-010,None,Equipment access,2025-05-22,2025-06-21,Revised timeline,Active,2025-03-14T00:00:00.000Z,2025-03-28T00:00:00.000Z
GOL-075339,STU-001225,Skills Development,Create independent project,Create independent project - Personal development goal for Better Youth student,2025-05-30,2025-10-30,null,Medium,94,7,0,MNT-0196,STF-0031,null,Time constraints,Equipment access,2025-05-30,2025-06-29,Additional support provided,Active,2025-03-22T00:00:00.000Z,2025-04-05T00:00:00.000Z
GOL-075375,STU-001102,Health/Wellness,Complete program certification,Complete program certification - Personal development goal for Better Youth student,2025-07-05,2025-09-14,2026-01-07,Medium,29,8,0,MNT-0049,STF-0003,null,Personal challenges,Flexible scheduling,2025-07-05,2025-08-04,Excellent progress,Completed,2025-04-27T00:00:00.000Z,2025-05-11T00:00:00.000Z
GOL-075395,STU-001779,Community,Public speaking confidence,Public speaking confidence - Personal development goal for Better Youth student,2025-07-25,2026-01-22,null,Low,49,7,2,MNT-0078,STF-0037,PRG-013,Work schedule,Equipment access,2025-07-25,2025-08-24,Additional support provided,Deferred,2025-05-17T00:00:00.000Z,2025-05-31T00:00:00.000Z
GOL-075408,STU-000582,Academic,Secure internship,Secure internship - Personal development goal for Better Youth student,2025-08-07,2025-12-30,2025-10-28,High,62,6,6,null,STF-0014,PRG-008,None,None additional,2025-08-07,2025-09-06,Revised timeline,Active,2025-05-30T00:00:00.000Z,2025-06-13T00:00:00.000Z
GOL-075437,STU-000186,Skills Development,Build portfolio,Build portfolio - Personal development goal for Better Youth student,2025-09-05,2025-10-22,2026-02-09,Medium,91,7,8,MNT-0172,STF-0039,PRG-004,Time constraints,Financial assistance,2025-09-05,2025-10-05,Additional support provided,Active,2025-06-28T00:00:00.000Z,2025-07-12T00:00:00.000Z
GOL-075460,STU-000865,Personal Growth,Network with 5 professionals,Network with 5 professionals - Personal development goal for Better Youth student,2025-09-28,2026-04-14,2025-12-15,Medium,13,2,4,MNT-0172,STF-0046,null,Resource access,Transportation,2025-09-28,2025-10-28,,Completed,2025-07-21T00:00:00.000Z,2025-08-04T00:00:00.000Z
GOL-075470,STU-001225,Financial,Public speaking confidence,Public speaking confidence - Personal development goal for Better Youth student,2025-10-08,2025-12-31,2025-12-03,Medium,23,5,5,MNT-0191,STF-0041,PRG-012,Transportation,Counseling,2025-10-08,2025-11-07,Needs attention,Completed,2025-07-31T00:00:00.000Z,2025-08-14T00:00:00.000Z
GOL-075483,STU-000474,Creative,Secure internship,Secure internship - Personal development goal for Better Youth student,2025-10-21,2026-04-25,null,Low,36,4,0,MNT-0173,STF-0013,PRG-007,Academic demands,Equipment access,2025-10-21,2025-11-20,Ahead of schedule,On Hold,2025-08-13T00:00:00.000Z,2025-08-27T00:00:00.000Z
GOL-075665,STU-001234,Financial,Public speaking confidence,Public speaking confidence - Personal development goal for Better Youth student,2025-04-21,2025-07-21,2025-05-19,Medium,16,4,2,MNT-0181,STF-0032,PRG-014,Transportation,Tutoring,2025-04-21,2025-05-21,Ahead of schedule,Completed,2023-02-11T00:00:00.000Z,2023-02-25T00:00:00.000Z
GOL-075755,STU-001641,Personal Growth,Public speaking confidence,Public speaking confidence - Personal development goal for Better Youth student,2025-07-20,2025-10-17,2025-09-07,Medium,5,3,2,MNT-0112,STF-0029,null,Resource access,Equipment access,2025-07-20,2025-08-19,On track,Completed,2023-05-12T00:00:00.000Z,2023-05-26T00:00:00.000Z
GOL-075881,STU-001032,Creative,Mentor a peer,Mentor a peer - Personal development goal for Better Youth student,2025-11-23,2026-05-22,2026-04-25,Low,30,3,2,null,STF-0017,PRG-012,Personal challenges,Tutoring,2025-11-23,2025-12-23,On track,On Hold,2023-09-15T00:00:00.000Z,2023-09-29T00:00:00.000Z
GOL-075947,STU-001641,Skills Development,Build portfolio,Build portfolio - Personal development goal for Better Youth student,2025-01-28,2025-03-19,null,Medium,96,6,5,MNT-0130,STF-0028,null,Time constraints,Equipment access,2025-01-28,2025-02-27,Revised timeline,Completed,2023-11-20T00:00:00.000Z,2023-12-04T00:00:00.000Z
GOL-076030,STU-000527,Career,Network with 5 professionals,Network with 5 professionals - Personal development goal for Better Youth student,2025-04-21,2025-11-12,2025-07-22,Medium,78,5,7,null,STF-0049,PRG-006,None,Counseling,2025-04-21,2025-05-21,Needs attention,Active,2024-02-11T00:00:00.000Z,2024-02-25T00:00:00.000Z
GOL-076068,STU-001150,Financial,Secure internship,Secure internship - Personal development goal for Better Youth student,2025-05-29,2025-09-17,2025-07-28,Medium,15,8,0,null,STF-0033,PRG-005,Transportation,Transportation,2025-05-29,2025-06-28,Excellent progress,Completed,2024-03-20T00:00:00.000Z,2024-04-03T00:00:00.000Z
GOL-076081,STU-000582,Creative,Improve GPA,Improve GPA - Personal development goal for Better Youth student,2025-06-11,2025-10-31,2025-10-20,Low,28,7,4,MNT-0028,STF-0028,PRG-002,Personal challenges,Tutoring,2025-06-11,2025-07-11,Additional support provided,On Hold,2024-04-02T00:00:00.000Z,2024-04-16T00:00:00.000Z
GOL-076124,STU-001017,Career,Complete community service hours,Complete community service hours - Personal development goal for Better Youth student,2025-07-24,2026-02-08,2025-09-06,High,71,8,2,MNT-0085,STF-0028,PRG-012,None,Transportation,2025-07-24,2025-08-23,Excellent progress,Active,2024-05-15T00:00:00.000Z,2024-05-29T00:00:00.000Z
GOL-076262,STU-001017,Personal Growth,Build portfolio,Build portfolio - Personal development goal for Better Youth student,2025-12-09,2026-06-06,2026-07-09,Medium,7,6,5,MNT-0125,STF-0014,PRG-014,Transportation,Counseling,2025-12-09,2026-01-08,Revised timeline,Completed,2024-09-30T00:00:00.000Z,2024-10-14T00:00:00.000Z
GOL-076269,STU-000920,Financial,Create independent project,Create independent project - Personal development goal for Better Youth student,2025-12-16,2026-02-18,null,Medium,14,6,3,null,STF-0049,null,Transportation,Financial assistance,2025-12-16,2026-01-15,Revised timeline,Completed,2024-10-07T00:00:00.000Z,2024-10-21T00:00:00.000Z
GOL-076318,STU-001234,Career,Master video editing,Master video editing - Personal development goal for Better Youth student,2025-02-03,2025-03-07,2025-03-27,High,63,6,7,MNT-0058,STF-0027,null,None,Counseling,2025-02-03,2025-03-05,Revised timeline,Active,2024-11-25T00:00:00.000Z,2024-12-09T00:00:00.000Z
GOL-076392,STU-001788,Leadership,Improve attendance,Improve attendance - Personal development goal for Better Youth student,2025-04-18,2025-09-29,2025-06-03,Low,36,3,0,null,STF-0022,PRG-007,Work schedule,None additional,2025-04-18,2025-05-18,On track,Cancelled,2025-02-07T00:00:00.000Z,2025-02-21T00:00:00.000Z
GOL-076527,STU-000384,Career,Improve attendance,Improve attendance - Personal development goal for Better Youth student,2025-08-31,2025-12-09,2026-02-09,High,70,5,0,null,STF-0029,PRG-015,None,Flexible scheduling,2025-08-31,2025-09-30,Needs attention,Active,2025-06-22T00:00:00.000Z,2025-07-06T00:00:00.000Z
GOL-076569,STU-000746,Financial,Create independent project,Create independent project - Personal development goal for Better Youth student,2025-10-12,2026-04-10,2026-01-11,Medium,11,5,6,null,STF-0007,PRG-008,Transportation,Tutoring,2025-10-12,2025-11-11,Needs attention,Completed,2025-08-03T00:00:00.000Z,2025-08-17T00:00:00.000Z
GOL-076631,STU-001768,Career,Mentor a peer,Mentor a peer - Personal development goal for Better Youth student,2025-12-13,2026-06-27,null,Medium,73,4,5,MNT-0140,STF-0044,PRG-004,None,Flexible scheduling,2025-12-13,2026-01-12,Ahead of schedule,Active,2025-10-04T00:00:00.000Z,2025-10-18T00:00:00.000Z
GOL-076638,STU-000024,Skills Development,Secure internship,Secure internship - Personal development goal for Better Youth student,2025-12-20,2026-07-08,2026-05-09,Medium,80,4,3,MNT-0151,STF-0028,PRG-015,Time constraints,Counseling,2025-12-20,2026-01-19,Ahead of schedule,Active,2025-10-11T00:00:00.000Z,2025-10-25T00:00:00.000Z
GOL-076672,STU-001429,Financial,College application completion,College application completion - Personal development goal for Better Youth student,2025-01-23,2025-05-26,2025-02-21,Medium,13,3,1,null,STF-0021,null,Personal challenges,None additional,2025-01-23,2025-02-22,On track,Completed,2025-11-14T00:00:00.000Z,2025-11-28T00:00:00.000Z
GOL-076714,STU-000618,Academic,Learn new software,Learn new software - Personal development goal for Better Youth student,2025-03-06,2025-09-24,null,High,55,3,7,MNT-0137,STF-0026,null,None,Mentoring,2025-03-06,2025-04-05,On track,Active,2025-12-26T00:00:00.000Z,2026-01-09T00:00:00.000Z
GOL-076820,STU-001891,Career,Public speaking confidence,Public speaking confidence - Personal development goal for Better Youth student,2025-06-20,2025-11-21,2026-01-02,High,60,4,5,MNT-0117,STF-0040,PRG-006,None,Transportation,2025-06-20,2025-07-20,Ahead of schedule,Active,2023-04-11T00:00:00.000Z,2023-04-25T00:00:00.000Z
GOL-076940,STU-000567,Skills Development,Public speaking confidence,Public speaking confidence - Personal development goal for Better Youth student,2025-10-18,2025-12-31,2026-01-02,Medium,79,5,8,MNT-0028,STF-0042,null,Time constraints,Transportation,2025-10-18,2025-11-17,Needs attention,Active,2023-08-09T00:00:00.000Z,2023-08-23T00:00:00.000Z
GOL-076957,STU-000187,Personal Growth,College application completion,College application completion - Personal development goal for Better Youth student,2025-11-04,2026-04-13,null,Medium,96,8,7,MNT-0097,STF-0019,PRG-002,Resource access,Financial assistance,2025-11-04,2025-12-04,Excellent progress,Completed,2023-08-26T00:00:00.000Z,2023-09-09T00:00:00.000Z
GOL-077008,STU-001004,Academic,Master video editing,Master video editing - Personal development goal for Better Youth student,2025-12-25,2026-06-28,null,High,46,3,4,MNT-0162,STF-0008,PRG-006,None,None additional,2025-12-25,2026-01-24,On track,Active,2023-10-16T00:00:00.000Z,2023-10-30T00:00:00.000Z
GOL-077079,STU-000187,Health/Wellness,Create independent project,Create independent project - Personal development goal for Better Youth student,2025-03-06,2025-08-02,null,Medium,16,4,3,null,STF-0001,PRG-002,Personal challenges,Flexible scheduling,2025-03-06,2025-04-05,Ahead of schedule,Completed,2023-12-26T00:00:00.000Z,2024-01-09T00:00:00.000Z
GOL-077098,STU-001004,Community,Master video editing,Master video editing - Personal development goal for Better Youth student,2025-03-25,2025-06-08,2025-07-31,Low,35,2,4,null,STF-0019,PRG-007,Health issues,Mentoring,2025-03-25,2025-04-24,,Deferred,2024-01-14T00:00:00.000Z,2024-01-28T00:00:00.000Z
GOL-077148,STU-001527,Skills Development,Secure internship,Secure internship - Personal development goal for Better Youth student,2025-05-14,2025-09-02,2025-12-16,Medium,85,3,0,null,STF-0025,null,Time constraints,Transportation,2025-05-14,2025-06-13,On track,Completed,2024-03-04T00:00:00.000Z,2024-03-18T00:00:00.000Z
GOL-077175,STU-000640,Health/Wellness,Complete program certification,Complete program certification - Personal development goal for Better Youth student,2025-06-10,2025-09-04,null,Medium,11,2,0,MNT-0075,STF-0012,PRG-008,Personal challenges,Flexible scheduling,2025-06-10,2025-07-10,,Completed,2024-03-31T00:00:00.000Z,2024-04-14T00:00:00.000Z
GOL-077230,STU-001641,Career,Network with 5 professionals,Network with 5 professionals - Personal development goal for Better Youth student,2025-08-04,2026-02-14,2025-09-02,Medium,66,8,1,MNT-0029,STF-0049,null,None,Counseling,2025-08-04,2025-09-03,Excellent progress,Active,2024-05-25T00:00:00.000Z,2024-06-08T00:00:00.000Z
GOL-077335,STU-000469,Skills Development,Network with 5 professionals,Network with 5 professionals - Personal development goal for Better Youth student,2025-11-17,2025-12-28,null,Medium,70,8,7,null,STF-0005,null,Time constraints,Flexible scheduling,2025-11-17,2025-12-17,Excellent progress,Active,2024-09-07T00:00:00.000Z,2024-09-21T00:00:00.000Z
GOL-077346,STU-001788,Skills Development,Financial savings goal,Financial savings goal - Personal development goal for Better Youth student,2025-11-28,2026-01-28,null,Medium,81,5,0,MNT-0057,STF-0021,PRG-015,Time constraints,Mentoring,2025-11-28,2025-12-28,Needs attention,Completed,2024-09-18T00:00:00.000Z,2024-10-02T00:00:00.000Z
GOL-077372,STU-000765,Financial,Build portfolio,Build portfolio - Personal development goal for Better Youth student,2025-12-24,2026-06-21,2026-01-30,Medium,6,3,8,MNT-0151,STF-0008,PRG-007,Personal challenges,Transportation,2025-12-24,2026-01-23,On track,Completed,2024-10-14T00:00:00.000Z,2024-10-28T00:00:00.000Z
GOL-077380,STU-000865,Creative,Network with 5 professionals,Network with 5 professionals - Personal development goal for Better Youth student,2025-01-01,2025-06-30,null,Low,14,4,7,null,STF-0030,PRG-007,Personal challenges,Transportation,2025-01-01,2025-01-31,Ahead of schedule,On Hold,2024-10-22T00:00:00.000Z,2024-11-05T00:00:00.000Z
GOL-077445,STU-001225,Skills Development,Complete program certification,Complete program certification - Personal development goal for Better Youth student,2025-03-07,2025-07-10,null,Medium,79,6,0,MNT-0001,STF-0008,PRG-005,Time constraints,Financial assistance,2025-03-07,2025-04-06,Revised timeline,Completed,2024-12-26T00:00:00.000Z,2025-01-09T00:00:00.000Z
GOL-077462,STU-001225,Personal Growth,Build portfolio,Build portfolio - Personal development goal for Better Youth student,2025-03-24,2025-08-21,null,Medium,96,2,8,MNT-0081,STF-0003,PRG-012,Transportation,Counseling,2025-03-24,2025-04-23,,Completed,2025-01-12T00:00:00.000Z,2025-01-26T00:00:00.000Z
GOL-077531,STU-000865,Career,Mentor a peer,Mentor a peer - Personal development goal for Better Youth student,2025-06-01,2025-09-13,2025-09-30,Medium,64,8,5,MNT-0035,STF-0011,null,None,Equipment access,2025-06-01,2025-07-01,Excellent progress,Active,2025-03-22T00:00:00.000Z,2025-04-05T00:00:00.000Z
GOL-077560,STU-000527,Personal Growth,Network with 5 professionals,Network with 5 professionals - Personal development goal for Better Youth student,2025-06-30,2026-01-24,null,Medium,93,2,7,null,STF-0017,PRG-003,Resource access,None additional,2025-06-30,2025-07-30,,Completed,2025-04-20T00:00:00.000Z,2025-05-04T00:00:00.000Z
GOL-077598,STU-001788,Community,Secure internship,Secure internship - Personal development goal for Better Youth student,2025-08-07,2025-12-22,null,Low,30,5,0,MNT-0046,STF-0007,PRG-014,Health issues,Counseling,2025-08-07,2025-09-06,Needs attention,Deferred,2025-05-28T00:00:00.000Z,2025-06-11T00:00:00.000Z
GOL-077618,STU-001788,Career,Leadership role,Leadership role - Personal development goal for Better Youth student,2025-08-27,2025-10-22,2025-09-23,High,50,4,2,MNT-0014,STF-0044,PRG-004,None,Mentoring,2025-08-27,2025-09-26,Ahead of schedule,Active,2025-06-17T00:00:00.000Z,2025-07-01T00:00:00.000Z
GOL-077646,STU-000618,Skills Development,Financial savings goal,Financial savings goal - Personal development goal for Better Youth student,2025-09-24,2026-03-15,null,Medium,78,4,3,MNT-0024,STF-0019,PRG-011,Time constraints,Counseling,2025-09-24,2025-10-24,Ahead of schedule,Completed,2025-07-15T00:00:00.000Z,2025-07-29T00:00:00.000Z
GOL-077661,STU-001631,Personal Growth,Financial savings goal,Financial savings goal - Personal development goal for Better Youth student,2025-10-09,2026-04-18,2025-12-22,Medium,93,5,0,null,STF-0001,PRG-010,Resource access,Financial assistance,2025-10-09,2025-11-08,Needs attention,Completed,2025-07-30T00:00:00.000Z,2025-08-13T00:00:00.000Z
GOL-077665,STU-001891,Financial,Network with 5 professionals,Network with 5 professionals - Personal development goal for Better Youth student,2025-10-13,2026-04-01,2026-05-09,Medium,97,2,4,MNT-0122,STF-0036,PRG-015,Transportation,Tutoring,2025-10-13,2025-11-12,,Completed,2025-08-03T00:00:00.000Z,2025-08-17T00:00:00.000Z
GOL-077678,STU-000024,Health/Wellness,Leadership role,Leadership role - Personal development goal for Better Youth student,2025-10-26,2026-05-17,2026-04-19,Medium,9,8,8,MNT-0105,STF-0014,PRG-002,Personal challenges,Counseling,2025-10-26,2025-11-25,Excellent progress,Completed,2025-08-16T00:00:00.000Z,2025-08-30T00:00:00.000Z
GOL-077718,STU-001846,Career,Secure internship,Secure internship - Personal development goal for Better Youth student,2025-12-05,2026-06-24,2026-04-02,High,49,6,3,MNT-0186,STF-0024,PRG-012,None,Counseling,2025-12-05,2026-01-04,Revised timeline,Active,2025-09-25T00:00:00.000Z,2025-10-09T00:00:00.000Z
GOL-077728,STU-001846,Career,Master video editing,Master video editing - Personal development goal for Better Youth student,2025-12-15,2026-03-20,2026-03-31,High,59,2,4,null,STF-0026,PRG-005,None,None additional,2025-12-15,2026-01-14,,Active,2025-10-05T00:00:00.000Z,2025-10-19T00:00:00.000Z
GOL-077767,STU-001768,Financial,College application completion,College application completion - Personal development goal for Better Youth student,2025-01-23,2025-08-10,2025-05-08,Medium,98,6,7,MNT-0018,STF-0010,PRG-006,Transportation,Flexible scheduling,2025-01-23,2025-02-22,Revised timeline,Completed,2025-11-13T00:00:00.000Z,2025-11-27T00:00:00.000Z
GOL-077804,STU-001429,Academic,Complete community service hours,Complete community service hours - Personal development goal for Better Youth student,2025-03-01,2025-07-31,null,High,34,8,8,MNT-0142,STF-0049,PRG-003,None,Transportation,2025-03-01,2025-03-31,Excellent progress,Active,2025-12-20T00:00:00.000Z,2026-01-03T00:00:00.000Z
GOL-077858,STU-000567,Personal Growth,Leadership role,Leadership role - Personal development goal for Better Youth student,2025-04-24,2025-09-27,null,Medium,88,6,8,null,STF-0023,PRG-015,Resource access,Mentoring,2025-04-24,2025-05-24,Revised timeline,Completed,2023-02-12T00:00:00.000Z,2023-02-26T00:00:00.000Z
GOL-077910,STU-000640,Academic,Complete program certification,Complete program certification - Personal development goal for Better Youth student,2025-06-15,2025-12-25,2025-11-19,High,39,2,6,MNT-0013,STF-0033,PRG-002,None,Counseling,2025-06-15,2025-07-15,,Active,2023-04-05T00:00:00.000Z,2023-04-19T00:00:00.000Z
GOL-077949,STU-000838,Skills Development,Create independent project,Create independent project - Personal development goal for Better Youth student,2025-07-24,2025-10-15,2025-08-28,Medium,78,6,0,MNT-0169,STF-0031,null,Time constraints,Financial assistance,2025-07-24,2025-08-23,Revised timeline,Completed,2023-05-14T00:00:00.000Z,2023-05-28T00:00:00.000Z
GOL-077968,STU-001917,Financial,Master video editing,Master video editing - Personal development goal for Better Youth student,2025-08-12,2025-12-20,2026-01-01,Medium,97,4,1,MNT-0125,STF-0021,PRG-001,Transportation,None additional,2025-08-12,2025-09-11,Ahead of schedule,Completed,2023-06-02T00:00:00.000Z,2023-06-16T00:00:00.000Z
GOL-078023,STU-000912,Career,Leadership role,Leadership role - Personal development goal for Better Youth student,2025-10-06,2026-02-02,null,High,51,3,2,MNT-0097,STF-0033,PRG-007,None,Flexible scheduling,2025-10-06,2025-11-05,On track,Active,2023-07-27T00:00:00.000Z,2023-08-10T00:00:00.000Z
GOL-078025,STU-000187,Career,Network with 5 professionals,Network with 5 professionals - Personal development goal for Better Youth student,2025-10-08,2026-01-25,2025-12-30,High,53,5,4,null,STF-0021,PRG-005,None,Tutoring,2025-10-08,2025-11-07,Needs attention,Active,2023-07-29T00:00:00.000Z,2023-08-12T00:00:00.000Z
GOL-078064,STU-001429,Personal Growth,Learn new software,Learn new software - Personal development goal for Better Youth student,2025-11-16,2026-04-20,null,Medium,92,2,7,null,STF-0044,null,Transportation,None additional,2025-11-16,2025-12-16,,Completed,2023-09-06T00:00:00.000Z,2023-09-20T00:00:00.000Z
GOL-078089,STU-000527,Creative,Complete community service hours,Complete community service hours - Personal development goal for Better Youth student,2025-12-11,2026-03-16,2026-05-31,Low,16,6,5,MNT-0039,STF-0047,PRG-003,Academic demands,Tutoring,2025-12-11,2026-01-10,Revised timeline,On Hold,2023-10-01T00:00:00.000Z,2023-10-15T00:00:00.000Z
GOL-078105,STU-000062,Academic,Complete program certification,Complete program certification - Personal development goal for Better Youth student,2025-12-27,2026-02-18,null,High,32,8,3,MNT-0008,STF-0033,PRG-008,None,Tutoring,2025-12-27,2026-01-26,Excellent progress,Active,2023-10-17T00:00:00.000Z,2023-10-31T00:00:00.000Z
GOL-078212,STU-000527,Academic,Build portfolio,Build portfolio - Personal development goal for Better Youth student,2025-04-13,2025-06-10,2025-09-06,High,38,3,2,null,STF-0004,PRG-009,None,Transportation,2025-04-13,2025-05-13,On track,Active,2024-02-01T00:00:00.000Z,2024-02-15T00:00:00.000Z
GOL-078244,STU-001527,Skills Development,Learn new software,Learn new software - Personal development goal for Better Youth student,2025-05-15,2025-08-01,2025-09-19,Medium,70,7,7,MNT-0163,STF-0040,PRG-012,Time constraints,Transportation,2025-05-15,2025-06-14,Additional support provided,Active,2024-03-04T00:00:00.000Z,2024-03-18T00:00:00.000Z
GOL-078261,STU-000305,Personal Growth,Financial savings goal,Financial savings goal - Personal development goal for Better Youth student,2025-06-01,2025-07-05,null,Medium,87,3,6,MNT-0020,STF-0041,PRG-004,Resource access,Financial assistance,2025-06-01,2025-07-01,On track,Completed,2024-03-21T00:00:00.000Z,2024-04-04T00:00:00.000Z
GOL-078279,STU-001768,Health/Wellness,Create independent project,Create independent project - Personal development goal for Better Youth student,2025-06-19,2025-12-20,2025-09-11,Medium,4,7,6,MNT-0073,STF-0028,PRG-004,Personal challenges,Flexible scheduling,2025-06-19,2025-07-19,Additional support provided,Completed,2024-04-08T00:00:00.000Z,2024-04-22T00:00:00.000Z
GOL-078287,STU-000187,Creative,Build portfolio,Build portfolio - Personal development goal for Better Youth student,2025-06-27,2025-09-05,null,Low,12,8,5,MNT-0140,STF-0017,PRG-015,Academic demands,Flexible scheduling,2025-06-27,2025-07-27,Excellent progress,On Hold,2024-04-16T00:00:00.000Z,2024-04-30T00:00:00.000Z
GOL-078318,STU-001032,Career,Secure internship,Secure internship - Personal development goal for Better Youth student,2025-07-28,2026-01-22,2026-02-27,High,43,4,0,MNT-0181,STF-0013,PRG-015,None,Counseling,2025-07-28,2025-08-27,Ahead of schedule,Active,2024-05-17T00:00:00.000Z,2024-05-31T00:00:00.000Z
GOL-078329,STU-001102,Career,Complete community service hours,Complete community service hours - Personal development goal for Better Youth student,2025-08-08,2025-10-29,2026-02-25,High,54,8,2,MNT-0032,STF-0018,PRG-006,None,Tutoring,2025-08-08,2025-09-07,Excellent progress,Active,2024-05-28T00:00:00.000Z,2024-06-11T00:00:00.000Z
GOL-078384,STU-001779,Creative,Create independent project,Create independent project - Personal development goal for Better Youth student,2025-10-02,2026-02-08,null,Low,8,7,3,null,STF-0023,null,Academic demands,None additional,2025-10-02,2025-11-01,Additional support provided,On Hold,2024-07-22T00:00:00.000Z,2024-08-05T00:00:00.000Z
GOL-078387,STU-001429,Creative,Improve attendance,Improve attendance - Personal development goal for Better Youth student,2025-10-05,2026-03-18,null,Low,11,3,6,MNT-0187,STF-0029,null,Academic demands,Equipment access,2025-10-05,2025-11-04,On track,On Hold,2024-07-25T00:00:00.000Z,2024-08-08T00:00:00.000Z
GOL-078408,STU-000920,Academic,Secure internship,Secure internship - Personal development goal for Better Youth student,2025-10-26,2026-02-10,2026-03-17,High,32,3,0,MNT-0181,STF-0029,PRG-014,None,None additional,2025-10-26,2025-11-25,On track,Active,2024-08-15T00:00:00.000Z,2024-08-29T00:00:00.000Z
GOL-078461,STU-000884,Personal Growth,Mentor a peer,Mentor a peer - Personal development goal for Better Youth student,2025-12-18,2026-02-08,null,Medium,85,7,8,MNT-0181,STF-0004,null,Resource access,Financial assistance,2025-12-18,2026-01-17,Additional support provided,Completed,2024-10-07T00:00:00.000Z,2024-10-21T00:00:00.000Z
GOL-078505,STU-001846,Academic,Network with 5 professionals,Network with 5 professionals - Personal development goal for Better Youth student,2025-01-31,2025-04-03,null,High,28,2,7,MNT-0070,STF-0050,PRG-011,None,Tutoring,2025-01-31,2025-03-02,,Active,2024-11-20T00:00:00.000Z,2024-12-04T00:00:00.000Z
GOL-078586,STU-001532,Creative,Improve GPA,Improve GPA - Personal development goal for Better Youth student,2025-04-22,2025-07-03,2025-08-18,Low,8,6,7,null,STF-0034,PRG-002,Academic demands,Mentoring,2025-04-22,2025-05-22,Revised timeline,On Hold,2025-02-09T00:00:00.000Z,2025-02-23T00:00:00.000Z
GOL-078596,STU-001004,Community,Mentor a peer,Mentor a peer - Personal development goal for Better Youth student,2025-05-02,2025-10-10,null,Low,18,2,8,null,STF-0026,PRG-006,Health issues,Transportation,2025-05-02,2025-06-01,,Deferred,2025-02-19T00:00:00.000Z,2025-03-05T00:00:00.000Z
GOL-078664,STU-001891,Personal Growth,Learn new software,Learn new software - Personal development goal for Better Youth student,2025-07-09,2025-09-26,null,Medium,86,7,4,MNT-0083,STF-0005,PRG-012,Transportation,None additional,2025-07-09,2025-08-08,Additional support provided,Completed,2025-04-28T00:00:00.000Z,2025-05-12T00:00:00.000Z
GOL-078716,STU-000884,Career,Mentor a peer,Mentor a peer - Personal development goal for Better Youth student,2025-08-30,2026-01-28,2025-12-19,High,37,3,2,null,STF-0008,PRG-012,None,Transportation,2025-08-30,2025-09-29,On track,Active,2025-06-19T00:00:00.000Z,2025-07-03T00:00:00.000Z
GOL-078730,STU-000844,Career,Network with 5 professionals,Network with 5 professionals - Personal development goal for Better Youth student,2025-09-13,2025-10-17,2026-02-14,Medium,51,3,7,MNT-0171,STF-0002,PRG-013,None,Mentoring,2025-09-13,2025-10-13,On track,Active,2025-07-03T00:00:00.000Z,2025-07-17T00:00:00.000Z
