student_cert_id,student_id,certification_id,attempt_date,attempt_number,exam_score,passed,issue_date,expiration_date,certificate_number,verified_by_staff_id,digital_badge_issued,badge_url,linked_to_portfolio,employer_verified,renewal_reminder_sent,status,notes,created_at,updated_at
SCR-99381,STU-000654,CRT-020,2025-10-13,1,79.00,true,2025-10-23,null,CERT-1093815,STF-0043,true,https://badges.betteryouth.org/verify/CERT-1093815,true,true,true,Active,,2022-12-02T00:00:00.000Z,2022-12-09T00:00:00.000Z
SCR-99381,STU-000221,CRT-011,2025-10-16,1,82.00,true,2025-10-27,2027-03-05,CERT-1093818,STF-0022,true,https://badges.betteryouth.org/verify/CERT-1093818,true,true,true,Active,Recommended for advanced certification,2022-12-05T00:00:00.000Z,2022-12-12T00:00:00.000Z
SCR-99387,STU-000515,CRT-008,2025-12-08,1,84.00,true,2025-12-12,null,CERT-1093871,STF-0039,true,https://badges.betteryouth.org/verify/CERT-1093871,false,false,false,Expired,First attempt success,2023-01-27T00:00:00.000Z,2023-02-03T00:00:00.000Z
SCR-99387,STU-001217,CRT-003,2025-12-13,2,89.00,true,2025-12-26,2028-05-08,CERT-1093876,STF-0013,true,https://badges.betteryouth.org/verify/CERT-1093876,false,false,false,Expired,First attempt success,2023-02-01T00:00:00.000Z,2023-02-08T00:00:00.000Z
SCR-99402,STU-000694,CRT-004,2025-05-13,1,87.00,true,2025-05-26,2026-12-19,CERT-1094027,STF-0019,true,https://badges.betteryouth.org/verify/CERT-1094027,true,false,true,Active,Improved from previous attempt,2023-07-02T00:00:00.000Z,2023-07-09T00:00:00.000Z
SCR-99404,STU-001673,CRT-015,2025-05-29,1,52.00,true,2025-05-31,2026-09-14,CERT-1094043,STF-0021,true,https://badges.betteryouth.org/verify/CERT-1094043,true,false,false,Active,Recommended for advanced certification,2023-07-18T00:00:00.000Z,2023-07-25T00:00:00.000Z
SCR-99416,STU-001784,CRT-012,2025-09-25,1,69.00,true,2025-10-05,2027-01-17,CERT-1094162,STF-0005,true,https://badges.betteryouth.org/verify/CERT-1094162,true,false,false,Active,Improved from previous attempt,2023-11-14T00:00:00.000Z,2023-11-21T00:00:00.000Z
SCR-99430,STU-001930,CRT-004,2025-02-11,1,55.00,true,2025-02-20,2026-07-27,CERT-1094301,STF-0044,true,https://badges.betteryouth.org/verify/CERT-1094301,true,true,true,Active,First attempt success,2024-04-01T00:00:00.000Z,2024-04-08T00:00:00.000Z
SCR-99433,STU-001885,CRT-010,2025-03-17,1,89.00,true,2025-03-21,2027-11-01,CERT-1094335,STF-0043,true,https://badges.betteryouth.org/verify/CERT-1094335,true,false,false,Active,,2024-05-05T00:00:00.000Z,2024-05-12T00:00:00.000Z
SCR-99435,STU-001263,CRT-019,2025-04-04,1,56.00,true,2025-04-17,null,CERT-1094353,STF-0031,true,https://badges.betteryouth.org/verify/CERT-1094353,true,false,false,Active,Recommended for advanced certification,2024-05-23T00:00:00.000Z,2024-05-30T00:00:00.000Z
SCR-99439,STU-000866,CRT-016,2025-05-18,3,100.00,false,2025-05-25,null,CERT-1094397,STF-0038,false,https://badges.betteryouth.org/verify/CERT-1094397,false,false,false,Pending Renewal,Improved from previous attempt,2024-07-06T00:00:00.000Z,2024-07-13T00:00:00.000Z
SCR-99440,STU-000866,CRT-015,2025-05-24,1,55.00,true,2025-05-29,null,CERT-1094403,STF-0037,true,https://badges.betteryouth.org/verify/CERT-1094403,true,true,true,Active,Recommended for advanced certification,2024-07-12T00:00:00.000Z,2024-07-19T00:00:00.000Z
SCR-99444,STU-001880,CRT-014,2025-07-03,1,95.00,true,2025-07-06,null,CERT-1094443,STF-0007,true,https://badges.betteryouth.org/verify/CERT-1094443,true,false,false,Active,Recommended for advanced certification,2024-08-21T00:00:00.000Z,2024-08-28T00:00:00.000Z
SCR-99446,STU-000405,CRT-015,2025-07-21,1,62.00,true,2025-08-02,null,CERT-1094461,STF-0001,true,https://badges.betteryouth.org/verify/CERT-1094461,true,false,false,Active,First attempt success,2024-09-08T00:00:00.000Z,2024-09-15T00:00:00.000Z
SCR-99447,STU-000258,CRT-002,2025-07-31,1,72.00,true,2025-08-10,2027-09-02,CERT-1094471,STF-0012,true,https://badges.betteryouth.org/verify/CERT-1094471,false,false,false,Expired,First attempt success,2024-09-18T00:00:00.000Z,2024-09-25T00:00:00.000Z
SCR-99450,STU-000654,CRT-008,2025-09-03,1,55.00,true,2025-09-10,null,CERT-1094505,STF-0032,true,https://badges.betteryouth.org/verify/CERT-1094505,true,true,true,Active,,2024-10-22T00:00:00.000Z,2024-10-29T00:00:00.000Z
SCR-99455,STU-000694,CRT-002,2025-10-19,1,50.00,true,2025-10-31,null,CERT-1094551,STF-0015,true,https://badges.betteryouth.org/verify/CERT-1094551,true,false,false,Active,First attempt success,2024-12-07T00:00:00.000Z,2024-12-14T00:00:00.000Z
SCR-99456,STU-001416,CRT-005,2025-11-05,1,67.00,true,2025-11-06,2028-10-27,CERT-1094568,STF-0031,true,https://badges.betteryouth.org/verify/CERT-1094568,true,false,false,Active,Recommended for advanced certification,2024-12-24T00:00:00.000Z,2024-12-31T00:00:00.000Z
SCR-99458,STU-000627,CRT-006,2025-11-24,2,86.00,false,2025-12-08,null,CERT-1094587,STF-0012,false,https://badges.betteryouth.org/verify/CERT-1094587,false,false,false,Pending Renewal,Improved from previous attempt,2025-01-12T00:00:00.000Z,2025-01-19T00:00:00.000Z
SCR-99464,STU-000438,CRT-010,2025-01-23,1,95.00,true,2025-02-04,2027-03-29,CERT-1094647,STF-0025,true,https://badges.betteryouth.org/verify/CERT-1094647,true,false,false,Active,Improved from previous attempt,2025-03-13T00:00:00.000Z,2025-03-20T00:00:00.000Z
SCR-99468,STU-001372,CRT-004,2025-02-28,2,80.00,false,2025-03-14,2026-09-21,CERT-1094683,STF-0024,true,https://badges.betteryouth.org/verify/CERT-1094683,false,false,false,Expired,Recommended for advanced certification,2025-04-18T00:00:00.000Z,2025-04-25T00:00:00.000Z
SCR-99495,STU-001372,CRT-007,2025-11-23,1,93.00,true,2025-11-25,2028-04-04,CERT-1094951,STF-0046,true,https://badges.betteryouth.org/verify/CERT-1094951,true,false,false,Active,First attempt success,2022-01-11T00:00:00.000Z,2022-01-18T00:00:00.000Z
SCR-99498,STU-000694,CRT-003,2025-12-31,2,80.00,false,2026-01-11,2028-11-07,CERT-1094989,STF-0001,false,https://badges.betteryouth.org/verify/CERT-1094989,false,false,false,Pending Renewal,Excellent performance,2022-02-18T00:00:00.000Z,2022-02-25T00:00:00.000Z
SCR-98509,STU-001969,CRT-007,2025-11-25,3,83.00,false,2025-12-07,null,CERT-1085098,STF-0045,false,https://badges.betteryouth.org/verify/CERT-1085098,false,false,false,Pending Renewal,Recommended for advanced certification,2023-01-20T00:00:00.000Z,2023-01-27T00:00:00.000Z
SCR-98517,STU-001217,CRT-002,2025-02-09,1,57.00,true,2025-02-13,2027-08-11,CERT-1085174,STF-0039,true,https://badges.betteryouth.org/verify/CERT-1085174,false,false,false,Expired,Excellent performance,2023-04-06T00:00:00.000Z,2023-04-13T00:00:00.000Z
SCR-98518,STU-001229,CRT-019,2025-02-23,2,71.00,false,2025-03-03,2026-11-10,CERT-1085188,STF-0013,false,https://badges.betteryouth.org/verify/CERT-1085188,false,false,false,Pending Renewal,Recommended for advanced certification,2023-04-20T00:00:00.000Z,2023-04-27T00:00:00.000Z
SCR-98519,STU-000866,CRT-015,2025-03-04,3,80.00,false,2025-03-13,null,CERT-1085197,STF-0003,false,https://badges.betteryouth.org/verify/CERT-1085197,false,false,false,Pending Renewal,Improved from previous attempt,2023-04-29T00:00:00.000Z,2023-05-06T00:00:00.000Z
SCR-98521,STU-000515,CRT-011,2025-03-19,1,95.00,true,2025-03-26,2027-07-03,CERT-1085212,STF-0008,true,https://badges.betteryouth.org/verify/CERT-1085212,true,true,true,Active,Improved from previous attempt,2023-05-14T00:00:00.000Z,2023-05-21T00:00:00.000Z
SCR-98523,STU-001107,CRT-016,2025-04-07,1,63.00,true,2025-04-20,2027-06-17,CERT-1085231,STF-0018,true,https://badges.betteryouth.org/verify/CERT-1085231,true,false,false,Active,First attempt success,2023-06-02T00:00:00.000Z,2023-06-09T00:00:00.000Z
SCR-98527,STU-001263,CRT-015,2025-05-20,1,55.00,true,2025-05-24,2026-11-14,CERT-1085274,STF-0024,true,https://badges.betteryouth.org/verify/CERT-1085274,false,false,false,Expired,Excellent performance,2023-07-15T00:00:00.000Z,2023-07-22T00:00:00.000Z
SCR-98529,STU-001586,CRT-002,2025-06-09,2,75.00,false,2025-06-16,2028-02-18,CERT-1085294,STF-0047,false,https://badges.betteryouth.org/verify/CERT-1085294,false,false,false,Pending Renewal,Excellent performance,2023-08-04T00:00:00.000Z,2023-08-11T00:00:00.000Z
SCR-98529,STU-001254,CRT-014,2025-06-13,3,79.00,false,2025-06-19,2028-01-13,CERT-1085298,STF-0009,false,https://badges.betteryouth.org/verify/CERT-1085298,false,false,false,Pending Renewal,Recommended for advanced certification,2023-08-08T00:00:00.000Z,2023-08-15T00:00:00.000Z
SCR-98530,STU-000488,CRT-013,2025-06-18,1,84.00,true,2025-06-25,2027-12-06,CERT-1085303,STF-0023,true,https://badges.betteryouth.org/verify/CERT-1085303,true,true,true,Active,Recommended for advanced certification,2023-08-13T00:00:00.000Z,2023-08-20T00:00:00.000Z
SCR-98534,STU-001586,CRT-013,2025-08-01,1,77.00,true,2025-08-07,null,CERT-1085347,STF-0031,true,https://badges.betteryouth.org/verify/CERT-1085347,true,false,false,Active,Improved from previous attempt,2023-09-26T00:00:00.000Z,2023-10-03T00:00:00.000Z
SCR-98544,STU-001217,CRT-004,2025-11-02,1,68.00,true,2025-11-16,null,CERT-1085440,STF-0034,true,https://badges.betteryouth.org/verify/CERT-1085440,true,false,false,Active,,2023-12-28T00:00:00.000Z,2024-01-04T00:00:00.000Z
SCR-98547,STU-000915,CRT-002,2025-12-06,1,51.00,true,2025-12-17,2028-06-11,CERT-1085474,STF-0047,true,https://badges.betteryouth.org/verify/CERT-1085474,false,false,false,Expired,Excellent performance,2024-01-31T00:00:00.000Z,2024-02-07T00:00:00.000Z
SCR-98548,STU-000866,CRT-001,2025-12-16,2,61.00,false,2025-12-28,2028-03-20,CERT-1085484,STF-0002,true,https://badges.betteryouth.org/verify/CERT-1085484,false,false,false,Expired,Excellent performance,2024-02-10T00:00:00.000Z,2024-02-17T00:00:00.000Z
SCR-98548,STU-001359,CRT-007,2025-12-19,2,64.00,false,2025-12-29,2027-09-30,CERT-1085487,STF-0036,false,https://badges.betteryouth.org/verify/CERT-1085487,false,false,false,Pending Renewal,Improved from previous attempt,2024-02-13T00:00:00.000Z,2024-02-20T00:00:00.000Z
SCR-98552,STU-001784,CRT-019,2025-01-25,1,50.00,true,2025-01-31,null,CERT-1085524,STF-0043,true,https://badges.betteryouth.org/verify/CERT-1085524,true,false,true,Active,Excellent performance,2024-03-21T00:00:00.000Z,2024-03-28T00:00:00.000Z
SCR-98559,STU-000654,CRT-018,2025-04-09,3,73.00,false,2025-04-20,2026-06-14,CERT-1085598,STF-0047,false,https://badges.betteryouth.org/verify/CERT-1085598,false,false,false,Pending Renewal,Recommended for advanced certification,2024-06-03T00:00:00.000Z,2024-06-10T00:00:00.000Z
SCR-98560,STU-001166,CRT-008,2025-04-19,1,83.00,true,2025-04-22,null,CERT-1085608,STF-0007,true,https://badges.betteryouth.org/verify/CERT-1085608,true,true,true,Active,Recommended for advanced certification,2024-06-13T00:00:00.000Z,2024-06-20T00:00:00.000Z
SCR-98562,STU-001263,CRT-015,2025-05-03,1,97.00,true,2025-05-14,null,CERT-1085622,STF-0010,true,https://badges.betteryouth.org/verify/CERT-1085622,true,false,true,Active,Improved from previous attempt,2024-06-27T00:00:00.000Z,2024-07-04T00:00:00.000Z
SCR-98563,STU-000069,CRT-001,2025-05-11,1,54.00,true,2025-05-18,2026-06-15,CERT-1085630,STF-0005,true,https://badges.betteryouth.org/verify/CERT-1085630,true,false,false,Active,,2024-07-05T00:00:00.000Z,2024-07-12T00:00:00.000Z
SCR-98566,STU-001198,CRT-017,2025-06-11,1,85.00,true,2025-06-16,null,CERT-1085661,STF-0002,true,https://badges.betteryouth.org/verify/CERT-1085661,true,false,false,Active,First attempt success,2024-08-05T00:00:00.000Z,2024-08-12T00:00:00.000Z
SCR-98570,STU-001133,CRT-003,2025-07-22,1,75.00,true,2025-07-30,2028-04-19,CERT-1085702,STF-0045,true,https://badges.betteryouth.org/verify/CERT-1085702,true,true,true,Active,Improved from previous attempt,2024-09-15T00:00:00.000Z,2024-09-22T00:00:00.000Z
SCR-98576,STU-000488,CRT-007,2025-09-20,1,84.00,true,2025-09-21,2028-08-13,CERT-1085762,STF-0015,true,https://badges.betteryouth.org/verify/CERT-1085762,true,false,false,Active,Improved from previous attempt,2024-11-14T00:00:00.000Z,2024-11-21T00:00:00.000Z
SCR-98579,STU-001107,CRT-013,2025-10-22,2,65.00,false,2025-10-30,2028-02-01,CERT-1085794,STF-0043,false,https://badges.betteryouth.org/verify/CERT-1085794,false,false,false,Pending Renewal,Excellent performance,2024-12-16T00:00:00.000Z,2024-12-23T00:00:00.000Z
SCR-98597,STU-000703,CRT-016,2025-04-20,1,92.00,true,2025-04-30,2027-05-22,CERT-1085974,STF-0040,true,https://badges.betteryouth.org/verify/CERT-1085974,false,false,false,Expired,Excellent performance,2025-06-14T00:00:00.000Z,2025-06-21T00:00:00.000Z
SCR-98607,STU-001618,CRT-002,2025-07-26,1,87.00,true,2025-08-09,null,CERT-1086071,STF-0029,true,https://badges.betteryouth.org/verify/CERT-1086071,false,false,false,Expired,First attempt success,2025-09-19T00:00:00.000Z,2025-09-26T00:00:00.000Z
SCR-98611,STU-001880,CRT-012,2025-09-05,1,77.00,true,2025-09-17,2027-02-09,CERT-1086112,STF-0003,true,https://badges.betteryouth.org/verify/CERT-1086112,true,true,true,Active,Improved from previous attempt,2025-10-30T00:00:00.000Z,2025-11-06T00:00:00.000Z
SCR-98613,STU-000654,CRT-017,2025-09-29,1,50.00,true,2025-10-13,null,CERT-1086136,STF-0032,true,https://badges.betteryouth.org/verify/CERT-1086136,true,false,false,Active,First attempt success,2025-11-23T00:00:00.000Z,2025-11-30T00:00:00.000Z
SCR-98615,STU-001063,CRT-018,2025-10-13,1,64.00,true,2025-10-22,2028-02-22,CERT-1086150,STF-0021,true,https://badges.betteryouth.org/verify/CERT-1086150,true,false,false,Active,,2025-12-07T00:00:00.000Z,2025-12-14T00:00:00.000Z
SCR-98617,STU-000169,CRT-017,2025-11-11,2,93.00,true,2025-11-17,2027-01-07,CERT-1086179,STF-0033,true,https://badges.betteryouth.org/verify/CERT-1086179,false,false,false,Expired,Excellent performance,2022-01-05T00:00:00.000Z,2022-01-12T00:00:00.000Z
SCR-98618,STU-000438,CRT-008,2025-11-16,2,98.00,false,2025-11-17,2027-01-28,CERT-1086184,STF-0050,true,https://badges.betteryouth.org/verify/CERT-1086184,false,false,false,Expired,Excellent performance,2022-01-10T00:00:00.000Z,2022-01-17T00:00:00.000Z
SCR-98620,STU-000438,CRT-008,2025-12-05,1,66.00,true,2025-12-09,null,CERT-1086203,STF-0036,true,https://badges.betteryouth.org/verify/CERT-1086203,true,true,true,Active,Recommended for advanced certification,2022-01-29T00:00:00.000Z,2022-02-05T00:00:00.000Z
SCR-98625,STU-001372,CRT-014,2025-01-22,1,63.00,true,2025-01-30,2027-04-26,CERT-1086251,STF-0046,true,https://badges.betteryouth.org/verify/CERT-1086251,true,false,false,Active,First attempt success,2022-03-18T00:00:00.000Z,2022-03-25T00:00:00.000Z
SCR-98626,STU-000069,CRT-001,2025-02-08,1,80.00,true,2025-02-10,2027-02-11,CERT-1086268,STF-0017,true,https://badges.betteryouth.org/verify/CERT-1086268,true,false,false,Active,Recommended for advanced certification,2022-04-04T00:00:00.000Z,2022-04-11T00:00:00.000Z
SCR-98627,STU-001198,CRT-016,2025-02-18,2,90.00,true,2025-03-03,null,CERT-1086278,STF-0011,true,https://badges.betteryouth.org/verify/CERT-1086278,false,false,false,Expired,Recommended for advanced certification,2022-04-14T00:00:00.000Z,2022-04-21T00:00:00.000Z
SCR-98629,STU-000515,CRT-011,2025-03-03,2,52.00,false,2025-03-11,2028-02-21,CERT-1086291,STF-0043,false,https://badges.betteryouth.org/verify/CERT-1086291,false,false,false,Pending Renewal,First attempt success,2022-04-27T00:00:00.000Z,2022-05-04T00:00:00.000Z
SCR-98640,STU-001969,CRT-007,2025-06-28,1,67.00,true,2025-07-04,2027-01-07,CERT-1086408,STF-0031,true,https://badges.betteryouth.org/verify/CERT-1086408,true,true,true,Active,Recommended for advanced certification,2022-08-22T00:00:00.000Z,2022-08-29T00:00:00.000Z
SCR-98643,STU-000703,CRT-011,2025-07-22,1,91.00,true,2025-08-03,null,CERT-1086432,STF-0040,true,https://badges.betteryouth.org/verify/CERT-1086432,true,false,false,Active,Improved from previous attempt,2022-09-15T00:00:00.000Z,2022-09-22T00:00:00.000Z
SCR-98644,STU-001930,CRT-008,2025-08-07,1,56.00,true,2025-08-15,null,CERT-1086448,STF-0039,true,https://badges.betteryouth.org/verify/CERT-1086448,true,false,false,Active,Recommended for advanced certification,2022-10-01T00:00:00.000Z,2022-10-08T00:00:00.000Z
SCR-98648,STU-001618,CRT-005,2025-09-12,2,92.00,false,2025-09-18,2028-01-01,CERT-1086484,STF-0012,true,https://badges.betteryouth.org/verify/CERT-1086484,false,false,false,Expired,Excellent performance,2022-11-06T00:00:00.000Z,2022-11-13T00:00:00.000Z
SCR-98651,STU-000654,CRT-020,2025-10-10,1,69.00,true,2025-10-12,2028-08-03,CERT-1086512,STF-0020,true,https://badges.betteryouth.org/verify/CERT-1086512,true,true,true,Active,Improved from previous attempt,2022-12-04T00:00:00.000Z,2022-12-11T00:00:00.000Z
SCR-98652,STU-000501,CRT-006,2025-10-19,1,78.00,true,2025-10-22,2028-10-01,CERT-1086521,STF-0005,true,https://badges.betteryouth.org/verify/CERT-1086521,true,false,true,Active,First attempt success,2022-12-13T00:00:00.000Z,2022-12-20T00:00:00.000Z
SCR-98655,STU-001360,CRT-007,2025-11-18,1,57.00,true,2025-11-25,2028-02-28,CERT-1086551,STF-0013,true,https://badges.betteryouth.org/verify/CERT-1086551,true,false,false,Active,First attempt success,2023-01-12T00:00:00.000Z,2023-01-19T00:00:00.000Z
SCR-98655,STU-000069,CRT-017,2025-11-19,1,58.00,true,2025-11-27,null,CERT-1086552,STF-0005,true,https://badges.betteryouth.org/verify/CERT-1086552,true,false,false,Active,Improved from previous attempt,2023-01-13T00:00:00.000Z,2023-01-20T00:00:00.000Z
SCR-98656,STU-000069,CRT-002,2025-12-02,1,71.00,true,2025-12-09,2028-06-07,CERT-1086565,STF-0003,true,https://badges.betteryouth.org/verify/CERT-1086565,true,false,false,Active,,2023-01-26T00:00:00.000Z,2023-02-02T00:00:00.000Z
SCR-98657,STU-001176,CRT-016,2025-12-09,1,78.00,true,2025-12-18,2028-07-24,CERT-1086572,STF-0042,true,https://badges.betteryouth.org/verify/CERT-1086572,false,false,false,Expired,Improved from previous attempt,2023-02-02T00:00:00.000Z,2023-02-09T00:00:00.000Z
SCR-98666,STU-000501,CRT-015,2025-03-09,1,66.00,true,2025-03-13,2027-01-15,CERT-1086662,STF-0048,true,https://badges.betteryouth.org/verify/CERT-1086662,true,false,false,Active,Improved from previous attempt,2023-05-03T00:00:00.000Z,2023-05-10T00:00:00.000Z
SCR-98677,STU-001673,CRT-005,2025-06-27,1,74.00,true,2025-07-09,2026-11-12,CERT-1086772,STF-0031,true,https://badges.betteryouth.org/verify/CERT-1086772,false,false,false,Expired,Improved from previous attempt,2023-08-21T00:00:00.000Z,2023-08-28T00:00:00.000Z
SCR-98682,STU-001673,CRT-011,2025-08-19,1,76.00,true,2025-09-02,2028-06-11,CERT-1086825,STF-0041,true,https://badges.betteryouth.org/verify/CERT-1086825,true,false,true,Active,,2023-10-13T00:00:00.000Z,2023-10-20T00:00:00.000Z
SCR-98686,STU-001673,CRT-003,2025-09-30,1,67.00,true,2025-10-01,2026-10-16,CERT-1086867,STF-0005,true,https://badges.betteryouth.org/verify/CERT-1086867,true,false,false,Active,Improved from previous attempt,2023-11-24T00:00:00.000Z,2023-12-01T00:00:00.000Z
SCR-98690,STU-001359,CRT-015,2025-11-06,1,53.00,true,2025-11-20,2027-03-07,CERT-1086904,STF-0036,true,https://badges.betteryouth.org/verify/CERT-1086904,true,true,true,Active,Excellent performance,2023-12-31T00:00:00.000Z,2024-01-07T00:00:00.000Z
SCR-98691,STU-001166,CRT-008,2025-11-16,1,63.00,true,2025-11-18,2028-06-21,CERT-1086914,STF-0021,true,https://badges.betteryouth.org/verify/CERT-1086914,true,true,true,Active,Excellent performance,2024-01-10T00:00:00.000Z,2024-01-17T00:00:00.000Z
SCR-98694,STU-000627,CRT-004,2025-12-14,1,91.00,true,2025-12-26,2027-04-09,CERT-1086942,STF-0030,true,https://badges.betteryouth.org/verify/CERT-1086942,true,false,false,Active,Improved from previous attempt,2024-02-07T00:00:00.000Z,2024-02-14T00:00:00.000Z
SCR-98695,STU-000955,CRT-001,2025-12-28,1,54.00,true,2026-01-11,2028-10-26,CERT-1086956,STF-0037,true,https://badges.betteryouth.org/verify/CERT-1086956,true,false,false,Active,First attempt success,2024-02-21T00:00:00.000Z,2024-02-28T00:00:00.000Z
SCR-98696,STU-001107,CRT-004,2025-01-02,1,59.00,true,2025-01-03,2027-04-01,CERT-1086961,STF-0039,true,https://badges.betteryouth.org/verify/CERT-1086961,true,false,false,Active,First attempt success,2024-02-26T00:00:00.000Z,2024-03-04T00:00:00.000Z
SCR-98700,STU-000362,CRT-013,2025-02-14,1,51.00,true,2025-02-15,2026-08-10,CERT-1087004,STF-0005,true,https://badges.betteryouth.org/verify/CERT-1087004,true,true,true,Active,Excellent performance,2024-04-09T00:00:00.000Z,2024-04-16T00:00:00.000Z
SCR-98702,STU-001133,CRT-020,2025-03-08,1,73.00,true,2025-03-19,2026-05-12,CERT-1087026,STF-0046,true,https://badges.betteryouth.org/verify/CERT-1087026,true,false,true,Active,First attempt success,2024-05-01T00:00:00.000Z,2024-05-08T00:00:00.000Z
SCR-98703,STU-001263,CRT-001,2025-03-21,1,86.00,true,2025-04-03,2027-12-22,CERT-1087039,STF-0022,true,https://badges.betteryouth.org/verify/CERT-1087039,true,false,false,Active,Excellent performance,2024-05-14T00:00:00.000Z,2024-05-21T00:00:00.000Z
SCR-98708,STU-001586,CRT-001,2025-05-05,2,80.00,false,2025-05-13,2027-08-16,CERT-1087084,STF-0009,true,https://badges.betteryouth.org/verify/CERT-1087084,false,false,false,Expired,Excellent performance,2024-06-28T00:00:00.000Z,2024-07-05T00:00:00.000Z
SCR-98716,STU-001254,CRT-009,2025-07-20,1,54.00,true,2025-07-25,2026-09-04,CERT-1087160,STF-0047,true,https://badges.betteryouth.org/verify/CERT-1087160,true,false,false,Active,,2024-09-12T00:00:00.000Z,2024-09-19T00:00:00.000Z
SCR-98722,STU-001176,CRT-005,2025-09-24,1,69.00,true,2025-10-01,2026-10-30,CERT-1087226,STF-0020,true,https://badges.betteryouth.org/verify/CERT-1087226,true,false,true,Active,First attempt success,2024-11-17T00:00:00.000Z,2024-11-24T00:00:00.000Z
SCR-98728,STU-000488,CRT-011,2025-11-23,2,78.00,false,2025-12-05,null,CERT-1087286,STF-0030,false,https://badges.betteryouth.org/verify/CERT-1087286,false,false,false,Revoked,First attempt success,2025-01-16T00:00:00.000Z,2025-01-23T00:00:00.000Z
SCR-98732,STU-000988,CRT-009,2025-12-31,1,65.00,true,2026-01-13,2028-05-01,CERT-1087324,STF-0005,true,https://badges.betteryouth.org/verify/CERT-1087324,true,false,true,Active,Excellent performance,2025-02-23T00:00:00.000Z,2025-03-02T00:00:00.000Z
SCR-98736,STU-001133,CRT-007,2025-02-10,1,55.00,true,2025-02-13,2026-02-20,CERT-1087365,STF-0015,true,https://badges.betteryouth.org/verify/CERT-1087365,true,false,false,Active,,2025-04-05T00:00:00.000Z,2025-04-12T00:00:00.000Z
SCR-98737,STU-001372,CRT-005,2025-02-15,1,60.00,true,2025-02-21,2027-12-19,CERT-1087370,STF-0015,true,https://badges.betteryouth.org/verify/CERT-1087370,false,false,false,Expired,,2025-04-10T00:00:00.000Z,2025-04-17T00:00:00.000Z
SCR-98737,STU-001969,CRT-008,2025-02-18,1,63.00,true,2025-02-24,null,CERT-1087373,STF-0047,true,https://badges.betteryouth.org/verify/CERT-1087373,false,false,false,Expired,Recommended for advanced certification,2025-04-13T00:00:00.000Z,2025-04-20T00:00:00.000Z
SCR-98742,STU-001229,CRT-017,2025-04-11,1,64.00,true,2025-04-21,2027-11-06,CERT-1087425,STF-0035,true,https://badges.betteryouth.org/verify/CERT-1087425,true,false,true,Active,,2025-06-04T00:00:00.000Z,2025-06-11T00:00:00.000Z
SCR-98743,STU-000515,CRT-004,2025-04-24,1,77.00,true,2025-04-26,2027-05-21,CERT-1087438,STF-0036,true,https://badges.betteryouth.org/verify/CERT-1087438,true,false,false,Active,Recommended for advanced certification,2025-06-17T00:00:00.000Z,2025-06-24T00:00:00.000Z
SCR-98754,STU-000316,CRT-006,2025-08-11,1,84.00,true,2025-08-23,2027-07-05,CERT-1087547,STF-0020,true,https://badges.betteryouth.org/verify/CERT-1087547,true,false,false,Active,Improved from previous attempt,2025-10-04T00:00:00.000Z,2025-10-11T00:00:00.000Z
SCR-98756,STU-001550,CRT-001,2025-09-02,1,55.00,true,2025-09-15,null,CERT-1087569,STF-0027,true,https://badges.betteryouth.org/verify/CERT-1087569,true,false,false,Active,Excellent performance,2025-10-26T00:00:00.000Z,2025-11-02T00:00:00.000Z
SCR-98764,STU-000501,CRT-019,2025-11-21,1,84.00,true,2025-11-27,2026-11-29,CERT-1087649,STF-0014,true,https://badges.betteryouth.org/verify/CERT-1087649,true,false,false,Active,Excellent performance,2022-01-14T00:00:00.000Z,2022-01-21T00:00:00.000Z
SCR-98769,STU-000955,CRT-007,2025-01-01,2,74.00,false,2025-01-15,null,CERT-1087690,STF-0024,false,https://badges.betteryouth.org/verify/CERT-1087690,false,false,false,Pending Renewal,,2022-02-24T00:00:00.000Z,2022-03-03T00:00:00.000Z
SCR-98773,STU-001198,CRT-017,2025-02-11,1,64.00,true,2025-02-19,2027-09-07,CERT-1087731,STF-0045,true,https://badges.betteryouth.org/verify/CERT-1087731,true,false,false,Active,First attempt success,2022-04-06T00:00:00.000Z,2022-04-13T00:00:00.000Z
SCR-98778,STU-000258,CRT-011,2025-04-01,2,62.00,false,2025-04-14,2027-10-21,CERT-1087780,STF-0009,true,https://badges.betteryouth.org/verify/CERT-1087780,false,false,false,Expired,,2022-05-25T00:00:00.000Z,2022-06-01T00:00:00.000Z
SCR-98785,STU-001133,CRT-016,2025-06-16,1,87.00,true,2025-06-30,2027-09-06,CERT-1087856,STF-0013,true,https://badges.betteryouth.org/verify/CERT-1087856,true,false,false,Active,First attempt success,2022-08-09T00:00:00.000Z,2022-08-16T00:00:00.000Z
SCR-98791,STU-000501,CRT-003,2025-08-15,1,96.00,true,2025-08-27,null,CERT-1087916,STF-0046,true,https://badges.betteryouth.org/verify/CERT-1087916,true,true,true,Active,First attempt success,2022-10-08T00:00:00.000Z,2022-10-15T00:00:00.000Z
SCR-98791,STU-000165,CRT-003,2025-08-17,1,98.00,true,2025-08-22,2026-11-16,CERT-1087918,STF-0014,true,https://badges.betteryouth.org/verify/CERT-1087918,true,true,true,Active,Recommended for advanced certification,2022-10-10T00:00:00.000Z,2022-10-17T00:00:00.000Z
