outcome_id,student_id,metric_id,measurement_date,measurement_period,value,previous_value,target_value,target_met,improvement_from_baseline,percentile_rank,assessed_by_staff_id,assessment_method,confidence_level,supporting_evidence,context_notes,program_id,cohort_id,follow_up_required,intervention_recommended,data_quality_flag,created_at,updated_at
OUT-817568,STU-000159,MTR-005,2025-11-30,Q1 2025,74.00,null,88.00,true,-17.00,69,STF-0022,Peer Review,Medium,Project Completion,Needs additional support,PRG-013,COH-2025,false,Additional Tutoring,Valid,2025-11-14T00:00:00.000Z,2025-11-21T00:00:00.000Z
OUT-817633,STU-001974,MTR-030,2025-02-03,Q2 2023,38.00,38.00,51.00,true,48.00,34,STF-0033,Staff Evaluation,High,Survey Response,External factors affected score,PRG-007,COH-2024,false,None,Valid,2023-01-18T00:00:00.000Z,2023-01-25T00:00:00.000Z
OUT-817685,STU-001239,MTR-009,2025-03-27,Q2 2024,90.00,90.00,52.00,false,29.00,86,STF-0021,Observation,Medium,Test Scores,First measurement,PRG-009,COH-2025,false,Counseling,Estimated,2023-03-11T00:00:00.000Z,2023-03-18T00:00:00.000Z
OUT-817767,STU-000993,MTR-024,2025-06-17,Q4 2023,71.00,71.00,83.00,true,40.00,68,STF-0028,External Assessment,Medium,Observation Notes,On track,PRG-002,COH-2023,false,Additional Tutoring,Valid,2023-06-01T00:00:00.000Z,2023-06-08T00:00:00.000Z
OUT-817792,STU-000969,MTR-002,2025-07-12,Q1 2024,96.00,96.00,57.00,false,-6.00,93,STF-0013,System Calculated,Low,Project Completion,Needs additional support,PRG-004,COH-2024,false,Resource Provision,Incomplete,2023-06-26T00:00:00.000Z,2023-07-03T00:00:00.000Z
OUT-817926,STU-000881,MTR-005,2025-11-23,Q3 2024,28.00,28.00,89.00,true,-14.00,27,STF-0027,Self-Assessment,High,Certification,Exceeded expectations,PRG-004,COH-2023,false,None,Valid,2023-11-07T00:00:00.000Z,2023-11-14T00:00:00.000Z
OUT-817962,STU-001943,MTR-029,2025-12-29,Q3 2024,64.00,64.00,74.00,true,22.00,63,STF-0022,Self-Assessment,Medium,Survey Response,External factors affected score,PRG-006,COH-2023,false,Additional Tutoring,Valid,2023-12-13T00:00:00.000Z,2023-12-20T00:00:00.000Z
OUT-818017,STU-000969,MTR-016,2025-02-22,Q2 2023,18.00,18.00,78.00,true,6.00,18,STF-0028,Staff Evaluation,High,Certification,Exceeded expectations,PRG-001,COH-2024,true,None,Valid,2024-02-06T00:00:00.000Z,2024-02-13T00:00:00.000Z
OUT-818041,STU-001257,MTR-014,2025-03-18,Q2 2023,42.00,42.00,51.00,true,30.00,42,STF-0044,Staff Evaluation,High,Portfolio Review,,PRG-009,COH-2024,false,None,Valid,2024-03-01T00:00:00.000Z,2024-03-08T00:00:00.000Z
OUT-818092,STU-000057,MTR-016,2025-05-08,Q1 2024,93.00,93.00,51.00,false,10.00,93,STF-0047,System Calculated,Low,Attendance Records,Significant improvement,PRG-006,COH-2024,false,Resource Provision,Incomplete,2024-04-21T00:00:00.000Z,2024-04-28T00:00:00.000Z
OUT-818121,STU-000068,MTR-009,2025-06-06,Q2 2025,21.00,null,80.00,true,39.00,22,STF-0004,External Assessment,High,Project Completion,Needs additional support,PRG-008,COH-2023,true,None,Valid,2024-05-20T00:00:00.000Z,2024-05-27T00:00:00.000Z
OUT-818131,STU-000454,MTR-003,2025-06-16,Q4 2024,31.00,31.00,90.00,true,49.00,32,STF-0019,Staff Evaluation,High,Observation Notes,On track,PRG-003,COH-2024,false,None,Valid,2024-05-30T00:00:00.000Z,2024-06-06T00:00:00.000Z
OUT-818155,STU-000912,MTR-021,2025-07-10,Q4 2024,55.00,55.00,63.00,true,2.00,56,STF-0032,Staff Evaluation,Medium,Attendance Records,Significant improvement,PRG-014,COH-2024,false,None,Valid,2024-06-23T00:00:00.000Z,2024-06-30T00:00:00.000Z
OUT-818209,STU-000556,MTR-004,2025-09-02,Q2 2023,8.00,null,66.00,true,-15.00,10,STF-0045,Staff Evaluation,High,Portfolio Review,,PRG-004,COH-2024,true,None,Valid,2024-08-16T00:00:00.000Z,2024-08-23T00:00:00.000Z
OUT-818215,STU-000112,MTR-003,2025-09-08,Q4 2024,14.00,null,72.00,true,-9.00,16,STF-0034,Staff Evaluation,High,Observation Notes,On track,PRG-008,COH-2024,true,None,Valid,2024-08-22T00:00:00.000Z,2024-08-29T00:00:00.000Z
OUT-818217,STU-001239,MTR-022,2025-09-10,Q2 2025,16.00,16.00,74.00,true,-7.00,18,STF-0008,External Assessment,High,Test Scores,First measurement,PRG-003,COH-2023,true,None,Valid,2024-08-24T00:00:00.000Z,2024-08-31T00:00:00.000Z
OUT-818267,STU-001200,MTR-004,2025-10-30,Q4 2025,66.00,66.00,73.00,true,43.00,68,STF-0034,Observation,Medium,Attendance Records,Significant improvement,PRG-015,COH-2025,false,Additional Tutoring,Valid,2024-10-13T00:00:00.000Z,2024-10-20T00:00:00.000Z
OUT-818283,STU-001392,MTR-015,2025-11-15,Q4 2023,82.00,82.00,89.00,false,-12.00,84,STF-0001,External Assessment,Medium,Certification,Exceeded expectations,PRG-013,COH-2023,false,Counseling,Estimated,2024-10-29T00:00:00.000Z,2024-11-05T00:00:00.000Z
OUT-818294,STU-001855,MTR-007,2025-11-26,Q3 2023,93.00,null,100.00,false,-1.00,95,STF-0014,Peer Review,Low,Test Scores,First measurement,PRG-008,COH-2025,false,Resource Provision,Incomplete,2024-11-09T00:00:00.000Z,2024-11-16T00:00:00.000Z
OUT-818338,STU-000322,MTR-029,2025-01-09,Q3 2025,36.00,36.00,93.00,true,43.00,39,STF-0004,System Calculated,High,Project Completion,Needs additional support,PRG-011,COH-2024,false,None,Valid,2024-12-23T00:00:00.000Z,2024-12-30T00:00:00.000Z
OUT-818360,STU-000948,MTR-030,2025-01-31,Q1 2025,58.00,58.00,64.00,true,-6.00,61,STF-0033,Peer Review,Medium,Certification,Exceeded expectations,PRG-003,COH-2025,false,Additional Tutoring,Valid,2025-01-14T00:00:00.000Z,2025-01-21T00:00:00.000Z
OUT-818452,STU-001676,MTR-028,2025-05-03,Q1 2024,49.00,49.00,54.00,true,15.00,53,STF-0025,System Calculated,Medium,Survey Response,External factors affected score,PRG-008,COH-2024,false,None,Valid,2025-04-16T00:00:00.000Z,2025-04-23T00:00:00.000Z
OUT-818486,STU-000969,MTR-019,2025-06-06,Q3 2023,83.00,83.00,88.00,false,49.00,87,STF-0049,Peer Review,Medium,Certification,Exceeded expectations,PRG-012,COH-2025,false,Counseling,Estimated,2025-05-20T00:00:00.000Z,2025-05-27T00:00:00.000Z
OUT-818707,STU-001855,MTR-024,2025-01-13,Q4 2024,1.00,1.00,54.00,true,-14.00,8,STF-0030,Staff Evaluation,High,Test Scores,First measurement,PRG-004,COH-2024,true,None,Valid,2025-12-27T00:00:00.000Z,2026-01-03T00:00:00.000Z
OUT-818732,STU-000068,MTR-026,2025-02-07,Q1 2025,26.00,null,79.00,true,11.00,33,STF-0047,Peer Review,High,Survey Response,External factors affected score,PRG-013,COH-2025,false,None,Valid,2023-01-21T00:00:00.000Z,2023-01-28T00:00:00.000Z
OUT-818761,STU-000556,MTR-008,2025-03-08,Q2 2023,55.00,55.00,57.00,true,40.00,62,STF-0039,Staff Evaluation,Medium,Observation Notes,On track,PRG-009,COH-2024,false,Additional Tutoring,Valid,2023-02-19T00:00:00.000Z,2023-02-26T00:00:00.000Z
OUT-818794,STU-001998,MTR-015,2025-04-10,Q3 2025,88.00,88.00,90.00,false,2.00,95,STF-0011,System Calculated,Low,Certification,Exceeded expectations,PRG-009,COH-2024,false,Resource Provision,Incomplete,2023-03-24T00:00:00.000Z,2023-03-31T00:00:00.000Z
OUT-818798,STU-001526,MTR-009,2025-04-14,Q3 2023,92.00,92.00,94.00,false,6.00,99,STF-0041,Peer Review,Low,Test Scores,First measurement,PRG-009,COH-2025,false,Program Change,Needs Review,2023-03-28T00:00:00.000Z,2023-04-04T00:00:00.000Z
OUT-818810,STU-000219,MTR-024,2025-04-26,Q3 2023,3.00,3.00,55.00,true,18.00,11,STF-0007,Peer Review,High,Observation Notes,On track,PRG-007,COH-2025,true,None,Valid,2023-04-09T00:00:00.000Z,2023-04-16T00:00:00.000Z
OUT-818845,STU-000482,MTR-002,2025-05-31,Q2 2023,38.00,38.00,90.00,true,-18.00,46,STF-0037,Staff Evaluation,High,Observation Notes,On track,PRG-006,COH-2024,false,None,Valid,2023-05-14T00:00:00.000Z,2023-05-21T00:00:00.000Z
OUT-818907,STU-000112,MTR-018,2025-08-01,Q4 2023,100.00,null,50.00,true,44.00,8,STF-0026,External Assessment,High,Survey Response,External factors affected score,PRG-011,COH-2023,true,None,Valid,2023-07-15T00:00:00.000Z,2023-07-22T00:00:00.000Z
OUT-818910,STU-001200,MTR-021,2025-08-04,Q3 2024,2.00,null,53.00,true,47.00,11,STF-0035,Self-Assessment,High,Test Scores,First measurement,PRG-008,COH-2023,true,None,Valid,2023-07-18T00:00:00.000Z,2023-07-25T00:00:00.000Z
OUT-818926,STU-001239,MTR-022,2025-08-20,Q3 2025,18.00,18.00,69.00,true,-8.00,27,STF-0014,System Calculated,High,Project Completion,Needs additional support,PRG-001,COH-2024,false,None,Valid,2023-08-03T00:00:00.000Z,2023-08-10T00:00:00.000Z
OUT-818935,STU-001524,MTR-003,2025-08-29,Q4 2024,27.00,null,78.00,true,1.00,36,STF-0041,Staff Evaluation,High,Survey Response,External factors affected score,PRG-006,COH-2024,false,None,Valid,2023-08-12T00:00:00.000Z,2023-08-19T00:00:00.000Z
OUT-819002,STU-000133,MTR-014,2025-11-04,Q3 2023,94.00,94.00,94.00,true,-3.00,3,STF-0008,Peer Review,High,Attendance Records,Significant improvement,PRG-007,COH-2025,true,None,Valid,2023-10-18T00:00:00.000Z,2023-10-25T00:00:00.000Z
OUT-819040,STU-001229,MTR-011,2025-12-12,Q1 2024,31.00,31.00,81.00,true,35.00,41,STF-0007,System Calculated,High,Survey Response,External factors affected score,PRG-012,COH-2024,false,None,Valid,2023-11-25T00:00:00.000Z,2023-12-02T00:00:00.000Z
OUT-819087,STU-000322,MTR-018,2025-01-28,Q4 2023,78.00,78.00,77.00,false,11.00,88,STF-0031,External Assessment,Medium,Project Completion,Needs additional support,PRG-008,COH-2023,false,Counseling,Estimated,2024-01-11T00:00:00.000Z,2024-01-18T00:00:00.000Z
OUT-819092,STU-000299,MTR-013,2025-02-02,Q1 2025,83.00,83.00,82.00,false,16.00,93,STF-0015,Peer Review,Low,Test Scores,First measurement,PRG-014,COH-2025,false,Resource Provision,Incomplete,2024-01-16T00:00:00.000Z,2024-01-23T00:00:00.000Z
OUT-819115,STU-001524,MTR-028,2025-02-25,Q4 2024,5.00,5.00,54.00,true,39.00,16,STF-0029,Staff Evaluation,High,Project Completion,Needs additional support,PRG-008,COH-2024,true,None,Valid,2024-02-08T00:00:00.000Z,2024-02-15T00:00:00.000Z
OUT-819116,STU-001670,MTR-008,2025-02-26,Q1 2025,6.00,6.00,55.00,true,40.00,17,STF-0002,Peer Review,High,Certification,Exceeded expectations,PRG-014,COH-2025,true,None,Valid,2024-02-09T00:00:00.000Z,2024-02-16T00:00:00.000Z
OUT-819206,STU-001916,MTR-028,2025-05-27,Q3 2023,96.00,96.00,94.00,true,-12.00,7,STF-0025,Peer Review,High,Project Completion,Needs additional support,PRG-002,COH-2025,true,None,Valid,2024-05-09T00:00:00.000Z,2024-05-16T00:00:00.000Z
OUT-819258,STU-001518,MTR-001,2025-07-18,Q3 2024,47.00,47.00,95.00,true,40.00,59,STF-0005,Self-Assessment,Medium,Observation Notes,On track,PRG-004,COH-2023,false,None,Valid,2024-06-30T00:00:00.000Z,2024-07-07T00:00:00.000Z
OUT-819439,STU-001670,MTR-016,2025-01-15,Q4 2024,26.00,26.00,72.00,true,8.00,40,STF-0028,Staff Evaluation,High,Survey Response,External factors affected score,PRG-012,COH-2024,false,None,Valid,2024-12-28T00:00:00.000Z,2025-01-04T00:00:00.000Z
OUT-819463,STU-000842,MTR-014,2025-02-08,Q4 2024,50.00,50.00,96.00,true,32.00,64,STF-0032,Staff Evaluation,Medium,Test Scores,First measurement,PRG-013,COH-2024,false,Additional Tutoring,Valid,2025-01-21T00:00:00.000Z,2025-01-28T00:00:00.000Z
OUT-819492,STU-000959,MTR-029,2025-03-09,Q1 2023,79.00,79.00,74.00,false,-10.00,93,STF-0003,Self-Assessment,Low,Attendance Records,Significant improvement,PRG-002,COH-2023,false,Resource Provision,Incomplete,2025-02-19T00:00:00.000Z,2025-02-26T00:00:00.000Z
OUT-819499,STU-001392,MTR-026,2025-03-16,Q4 2024,86.00,86.00,81.00,false,-3.00,100,STF-0003,Staff Evaluation,Low,Attendance Records,Significant improvement,PRG-010,COH-2024,false,Program Change,Needs Review,2025-02-26T00:00:00.000Z,2025-03-05T00:00:00.000Z
OUT-819507,STU-001635,MTR-004,2025-03-24,Q4 2023,94.00,94.00,89.00,true,5.00,8,STF-0043,External Assessment,High,Project Completion,Needs additional support,PRG-009,COH-2023,true,None,Valid,2025-03-06T00:00:00.000Z,2025-03-13T00:00:00.000Z
OUT-819519,STU-000969,MTR-025,2025-04-05,Q4 2023,5.00,null,50.00,true,17.00,20,STF-0029,External Assessment,High,Test Scores,First measurement,PRG-005,COH-2023,true,None,Valid,2025-03-18T00:00:00.000Z,2025-03-25T00:00:00.000Z
OUT-819530,STU-001257,MTR-005,2025-04-16,Q3 2023,16.00,16.00,61.00,true,28.00,31,STF-0049,Peer Review,High,Survey Response,External factors affected score,PRG-006,COH-2025,false,None,Valid,2025-03-29T00:00:00.000Z,2025-04-05T00:00:00.000Z
OUT-819533,STU-001635,MTR-004,2025-04-19,Q2 2024,19.00,19.00,64.00,true,31.00,34,STF-0036,Observation,High,Test Scores,First measurement,PRG-006,COH-2025,false,None,Valid,2025-04-01T00:00:00.000Z,2025-04-08T00:00:00.000Z
OUT-819601,STU-000454,MTR-026,2025-06-26,Q2 2023,87.00,87.00,81.00,true,28.00,2,STF-0031,Staff Evaluation,High,Observation Notes,On track,PRG-011,COH-2024,true,None,Valid,2025-06-08T00:00:00.000Z,2025-06-15T00:00:00.000Z
OUT-819620,STU-000068,MTR-010,2025-07-15,Q1 2025,5.00,5.00,100.00,true,47.00,21,STF-0019,Peer Review,High,Certification,Exceeded expectations,PRG-005,COH-2025,true,None,Valid,2025-06-27T00:00:00.000Z,2025-07-04T00:00:00.000Z
OUT-819704,STU-001083,MTR-026,2025-10-07,Q1 2025,89.00,89.00,82.00,true,-11.00,5,STF-0047,Peer Review,High,Certification,Exceeded expectations,PRG-008,COH-2025,true,None,Valid,2025-09-19T00:00:00.000Z,2025-09-26T00:00:00.000Z
OUT-819718,STU-001443,MTR-014,2025-10-21,Q3 2025,2.00,2.00,96.00,true,3.00,19,STF-0013,System Calculated,High,Certification,Exceeded expectations,PRG-003,COH-2024,true,None,Valid,2025-10-03T00:00:00.000Z,2025-10-10T00:00:00.000Z
OUT-819744,STU-000159,MTR-023,2025-11-16,Q1 2023,28.00,28.00,71.00,true,29.00,45,STF-0049,Self-Assessment,High,Attendance Records,Significant improvement,PRG-006,COH-2023,false,None,Valid,2025-10-29T00:00:00.000Z,2025-11-05T00:00:00.000Z
OUT-819779,STU-000212,MTR-016,2025-12-21,Q4 2025,63.00,63.00,55.00,false,-7.00,80,STF-0023,Observation,Medium,Attendance Records,Significant improvement,PRG-013,COH-2025,false,Mentorship,Valid,2025-12-03T00:00:00.000Z,2025-12-10T00:00:00.000Z
OUT-819849,STU-001998,MTR-018,2025-03-01,Q2 2025,32.00,null,74.00,true,-8.00,50,STF-0030,External Assessment,High,Attendance Records,Significant improvement,PRG-013,COH-2023,false,None,Valid,2023-02-11T00:00:00.000Z,2023-02-18T00:00:00.000Z
OUT-819880,STU-000753,MTR-006,2025-04-01,Q1 2024,63.00,63.00,54.00,false,23.00,81,STF-0038,System Calculated,Medium,Survey Response,External factors affected score,PRG-001,COH-2024,false,Counseling,Estimated,2023-03-14T00:00:00.000Z,2023-03-21T00:00:00.000Z
OUT-819915,STU-000322,MTR-003,2025-05-06,Q4 2023,98.00,null,89.00,true,-13.00,16,STF-0008,External Assessment,High,Survey Response,External factors affected score,PRG-009,COH-2023,true,None,Valid,2023-04-18T00:00:00.000Z,2023-04-25T00:00:00.000Z
OUT-819942,STU-000561,MTR-014,2025-06-02,Q3 2024,24.00,24.00,65.00,true,14.00,43,STF-0024,Self-Assessment,High,Certification,Exceeded expectations,PRG-007,COH-2023,false,None,Valid,2023-05-15T00:00:00.000Z,2023-05-22T00:00:00.000Z
OUT-660041,STU-000259,MTR-006,2025-05-02,Q2 2024,6.00,6.00,100.00,true,5.00,42,STF-0024,Observation,High,Certification,Exceeded expectations,PRG-010,COH-2025,false,None,Valid,2023-09-07T00:00:00.000Z,2023-09-14T00:00:00.000Z
OUT-660059,STU-000912,MTR-005,2025-05-20,Q4 2025,24.00,null,67.00,true,23.00,60,STF-0044,Observation,Medium,Test Scores,First measurement,PRG-003,COH-2025,false,None,Valid,2023-09-25T00:00:00.000Z,2023-10-02T00:00:00.000Z
OUT-660067,STU-001518,MTR-007,2025-05-28,Q4 2024,32.00,null,75.00,true,31.00,68,STF-0027,Staff Evaluation,Medium,Attendance Records,Significant improvement,PRG-005,COH-2024,false,Additional Tutoring,Valid,2023-10-03T00:00:00.000Z,2023-10-10T00:00:00.000Z
OUT-660103,STU-001526,MTR-009,2025-07-03,Q4 2024,68.00,68.00,60.00,true,-4.00,4,STF-0010,Staff Evaluation,High,Project Completion,Needs additional support,PRG-015,COH-2024,true,None,Valid,2023-11-08T00:00:00.000Z,2023-11-15T00:00:00.000Z
OUT-660119,STU-001518,MTR-002,2025-07-19,Q4 2025,84.00,84.00,76.00,true,12.00,20,STF-0008,Observation,High,Survey Response,External factors affected score,PRG-002,COH-2025,true,None,Valid,2023-11-24T00:00:00.000Z,2023-12-01T00:00:00.000Z
OUT-660177,STU-001916,MTR-023,2025-09-15,Q2 2025,41.00,null,83.00,false,-1.00,78,STF-0042,External Assessment,Medium,Portfolio Review,,PRG-014,COH-2023,false,Mentorship,Valid,2024-01-21T00:00:00.000Z,2024-01-28T00:00:00.000Z
OUT-660247,STU-000753,MTR-021,2025-11-24,Q4 2024,10.00,10.00,51.00,true,-2.00,48,STF-0007,Staff Evaluation,High,Portfolio Review,,PRG-014,COH-2024,false,None,Valid,2024-03-31T00:00:00.000Z,2024-04-07T00:00:00.000Z
OUT-660309,STU-001524,MTR-018,2025-01-25,Q2 2025,72.00,72.00,62.00,true,-11.00,10,STF-0008,External Assessment,High,Observation Notes,On track,PRG-011,COH-2023,true,None,Valid,2024-06-01T00:00:00.000Z,2024-06-08T00:00:00.000Z
OUT-660326,STU-000454,MTR-017,2025-02-11,Q3 2023,89.00,89.00,79.00,true,6.00,27,STF-0028,Peer Review,High,Attendance Records,Significant improvement,PRG-014,COH-2025,false,None,Valid,2024-06-18T00:00:00.000Z,2024-06-25T00:00:00.000Z
OUT-660387,STU-000959,MTR-011,2025-04-13,Q4 2023,49.00,null,89.00,false,-4.00,88,STF-0012,External Assessment,Medium,Portfolio Review,,PRG-011,COH-2023,false,Counseling,Estimated,2024-08-18T00:00:00.000Z,2024-08-25T00:00:00.000Z
OUT-660412,STU-000322,MTR-024,2025-05-08,Q1 2024,74.00,74.00,63.00,true,21.00,13,STF-0022,System Calculated,High,Certification,Exceeded expectations,PRG-004,COH-2024,true,None,Valid,2024-09-12T00:00:00.000Z,2024-09-19T00:00:00.000Z
OUT-660485,STU-000881,MTR-026,2025-07-20,Q2 2024,46.00,46.00,85.00,false,23.00,86,STF-0023,Observation,Medium,Portfolio Review,,PRG-013,COH-2025,false,Counseling,Estimated,2024-11-24T00:00:00.000Z,2024-12-01T00:00:00.000Z
OUT-660567,STU-000561,MTR-022,2025-10-10,Q4 2023,27.00,27.00,65.00,true,34.00,68,STF-0028,External Assessment,Medium,Survey Response,External factors affected score,PRG-004,COH-2023,false,Additional Tutoring,Valid,2025-02-14T00:00:00.000Z,2025-02-21T00:00:00.000Z
OUT-660696,STU-001257,MTR-003,2025-02-16,Q1 2023,55.00,55.00,92.00,false,21.00,97,STF-0046,Self-Assessment,Low,Test Scores,First measurement,PRG-011,COH-2023,false,Program Change,Needs Review,2025-06-23T00:00:00.000Z,2025-06-30T00:00:00.000Z
OUT-660769,STU-001083,MTR-015,2025-04-30,Q2 2023,27.00,null,63.00,true,23.00,70,STF-0029,Staff Evaluation,Medium,Certification,Exceeded expectations,PRG-001,COH-2024,false,Additional Tutoring,Valid,2025-09-04T00:00:00.000Z,2025-09-11T00:00:00.000Z
OUT-660782,STU-001229,MTR-023,2025-05-13,Q3 2023,40.00,null,76.00,false,36.00,83,STF-0013,Peer Review,Medium,Project Completion,Needs additional support,PRG-007,COH-2025,false,Counseling,Estimated,2025-09-17T00:00:00.000Z,2025-09-24T00:00:00.000Z
OUT-660830,STU-001173,MTR-019,2025-06-30,Q3 2023,88.00,null,73.00,true,13.00,31,STF-0011,Peer Review,High,Attendance Records,Significant improvement,PRG-004,COH-2025,false,None,Valid,2025-11-04T00:00:00.000Z,2025-11-11T00:00:00.000Z
OUT-660831,STU-000047,MTR-026,2025-07-01,Q4 2023,89.00,null,74.00,true,14.00,32,STF-0024,External Assessment,High,Project Completion,Needs additional support,PRG-011,COH-2023,false,None,Valid,2025-11-05T00:00:00.000Z,2025-11-12T00:00:00.000Z
OUT-660849,STU-001083,MTR-023,2025-07-19,Q2 2025,6.00,null,92.00,true,32.00,50,STF-0013,External Assessment,High,Portfolio Review,,PRG-009,COH-2023,false,None,Valid,2025-11-23T00:00:00.000Z,2025-11-30T00:00:00.000Z
OUT-660853,STU-001371,MTR-024,2025-07-23,Q2 2023,10.00,null,96.00,true,36.00,54,STF-0025,Staff Evaluation,Medium,Certification,Exceeded expectations,PRG-015,COH-2024,false,None,Valid,2025-11-27T00:00:00.000Z,2025-12-04T00:00:00.000Z
OUT-660915,STU-001257,MTR-013,2025-09-23,Q4 2023,72.00,72.00,56.00,true,27.00,16,STF-0001,External Assessment,High,Project Completion,Needs additional support,PRG-011,COH-2023,true,None,Valid,2023-01-28T00:00:00.000Z,2023-02-04T00:00:00.000Z
OUT-660956,STU-001173,MTR-023,2025-11-03,Q1 2025,12.00,12.00,97.00,true,-3.00,57,STF-0008,Peer Review,Medium,Attendance Records,Significant improvement,PRG-011,COH-2025,false,None,Valid,2023-03-10T00:00:00.000Z,2023-03-17T00:00:00.000Z
OUT-661003,STU-000259,MTR-029,2025-12-20,Q4 2024,59.00,59.00,93.00,true,44.00,4,STF-0030,Staff Evaluation,High,Portfolio Review,,PRG-010,COH-2024,true,None,Valid,2023-04-26T00:00:00.000Z,2023-05-03T00:00:00.000Z
OUT-661026,STU-001670,MTR-024,2025-01-12,Q3 2024,82.00,82.00,65.00,true,-4.00,27,STF-0035,Self-Assessment,High,Attendance Records,Significant improvement,PRG-012,COH-2023,false,None,Valid,2023-05-19T00:00:00.000Z,2023-05-26T00:00:00.000Z
OUT-661035,STU-001867,MTR-026,2025-01-21,Q4 2023,91.00,91.00,74.00,true,5.00,36,STF-0015,External Assessment,High,Certification,Exceeded expectations,PRG-003,COH-2023,false,None,Valid,2023-05-28T00:00:00.000Z,2023-06-04T00:00:00.000Z
OUT-661119,STU-001855,MTR-019,2025-04-15,Q4 2023,74.00,74.00,56.00,true,18.00,20,STF-0002,External Assessment,High,Certification,Exceeded expectations,PRG-008,COH-2023,true,None,Valid,2023-08-20T00:00:00.000Z,2023-08-27T00:00:00.000Z
OUT-661141,STU-001635,MTR-018,2025-05-07,Q2 2023,96.00,96.00,78.00,true,40.00,42,STF-0025,Staff Evaluation,High,Survey Response,External factors affected score,PRG-007,COH-2024,false,None,Valid,2023-09-11T00:00:00.000Z,2023-09-18T00:00:00.000Z
OUT-661209,STU-000322,MTR-021,2025-07-14,Q2 2025,63.00,null,95.00,true,37.00,10,STF-0040,External Assessment,High,Project Completion,Needs additional support,PRG-005,COH-2023,true,None,Valid,2023-11-18T00:00:00.000Z,2023-11-25T00:00:00.000Z
OUT-661238,STU-000948,MTR-016,2025-08-12,Q3 2023,92.00,92.00,73.00,true,-5.00,39,STF-0015,Peer Review,High,Certification,Exceeded expectations,PRG-005,COH-2025,false,None,Valid,2023-12-17T00:00:00.000Z,2023-12-24T00:00:00.000Z
OUT-661329,STU-000608,MTR-027,2025-11-11,Q2 2025,82.00,null,62.00,true,15.00,30,STF-0032,External Assessment,High,Certification,Exceeded expectations,PRG-012,COH-2023,false,None,Valid,2024-03-17T00:00:00.000Z,2024-03-24T00:00:00.000Z
OUT-661380,STU-001943,MTR-008,2025-01-01,Q1 2023,32.00,32.00,62.00,false,-5.00,81,STF-0039,Self-Assessment,Medium,Observation Notes,On track,PRG-005,COH-2023,false,Counseling,Estimated,2024-05-07T00:00:00.000Z,2024-05-14T00:00:00.000Z
OUT-661393,STU-000212,MTR-013,2025-01-14,Q2 2023,45.00,null,75.00,false,8.00,94,STF-0033,Staff Evaluation,Low,Survey Response,External factors affected score,PRG-010,COH-2024,false,Resource Provision,Incomplete,2024-05-20T00:00:00.000Z,2024-05-27T00:00:00.000Z
OUT-661489,STU-000948,MTR-027,2025-04-20,Q2 2023,40.00,40.00,69.00,false,33.00,90,STF-0009,Staff Evaluation,Medium,Project Completion,Needs additional support,PRG-002,COH-2024,false,Resource Provision,Estimated,2024-08-24T00:00:00.000Z,2024-08-31T00:00:00.000Z
OUT-661504,STU-001867,MTR-003,2025-05-05,Q1 2024,55.00,null,84.00,true,48.00,5,STF-0045,System Calculated,High,Certification,Exceeded expectations,PRG-011,COH-2024,true,None,Valid,2024-09-08T00:00:00.000Z,2024-09-15T00:00:00.000Z
OUT-661525,STU-000259,MTR-018,2025-05-26,Q2 2023,76.00,76.00,54.00,true,-2.00,26,STF-0001,Staff Evaluation,High,Certification,Exceeded expectations,PRG-014,COH-2024,false,None,Valid,2024-09-29T00:00:00.000Z,2024-10-06T00:00:00.000Z
OUT-661543,STU-001974,MTR-025,2025-06-13,Q4 2024,94.00,94.00,72.00,true,16.00,44,STF-0038,Staff Evaluation,High,Test Scores,First measurement,PRG-015,COH-2024,false,None,Valid,2024-10-17T00:00:00.000Z,2024-10-24T00:00:00.000Z
OUT-661600,STU-000112,MTR-007,2025-08-09,Q1 2024,50.00,null,78.00,true,2.00,1,STF-0006,System Calculated,High,Attendance Records,Significant improvement,PRG-003,COH-2024,true,None,Valid,2024-12-13T00:00:00.000Z,2024-12-20T00:00:00.000Z
OUT-661611,STU-001371,MTR-021,2025-08-20,Q4 2023,61.00,null,89.00,true,13.00,12,STF-0037,External Assessment,High,Observation Notes,On track,PRG-003,COH-2023,true,None,Valid,2024-12-24T00:00:00.000Z,2024-12-31T00:00:00.000Z
OUT-661632,STU-000842,MTR-022,2025-09-10,Q1 2023,82.00,82.00,59.00,true,34.00,33,STF-0044,Self-Assessment,High,Observation Notes,On track,PRG-010,COH-2023,false,None,Valid,2025-01-14T00:00:00.000Z,2025-01-21T00:00:00.000Z
OUT-661650,STU-001392,MTR-011,2025-09-28,Q3 2024,100.00,null,77.00,true,-19.00,51,STF-0048,Self-Assessment,Medium,Project Completion,Needs additional support,PRG-009,COH-2023,false,None,Valid,2025-02-01T00:00:00.000Z,2025-02-08T00:00:00.000Z
OUT-661668,STU-001670,MTR-008,2025-10-16,Q1 2023,17.00,null,95.00,true,-1.00,69,STF-0031,Self-Assessment,Medium,Portfolio Review,,PRG-004,COH-2023,false,Additional Tutoring,Valid,2025-02-19T00:00:00.000Z,2025-02-26T00:00:00.000Z
